DLiP-ID,C003NW
DLiP-Mol-ID,27851
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21N3O/c1-22(2)15-8-6-14(7-9-15)20-19-5-4-12-23(19)18-11-10-16(24-3)13-17(18)21-20/h4-13,20-21H,1-3H3"
Standard Inchi Key(RDKit),KUFHEUJHSAJDFW-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc2c(c1)NC(c1ccc(N(C)C)cc1)c1cccn1-2
SMILES(SDF),
MW(SDF),
MW(RDKit),319.408
MW Monoisotopic(RDKit),319.168462292
MolLogP(RDKit),4.0668
XLogP(SDF),
XLogP(CDK),4.726
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),29.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.789035156656189
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,574149.8899799729
qed,0.7890351566561892
Chi0,16.681433796945207
Chi1,11.669035095596021
TPSA,29.43
Chi0n,14.153528442549666
Chi0v,14.153528442549666
Chi1n,8.066587191497232
Chi1v,8.066587191497232
Chi2n,6.249445001768188
Chi2v,6.249445001768188
Chi3n,4.581976571507533
Chi3v,4.581976571507533
Chi4n,3.265008261911038
Chi4v,3.265008261911038
MolMR,98.55570000000003
MolWt,319.408
fr_SH,0
Kappa1,14.695868584110958
