DLiP-ID,P000HA
DLiP-Mol-ID,26105
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H23ClFN7O/c1-13-2-3-17-15(11-29-30-17)19(13)20-16(24)10-14-22(21(20)25)27-12-28-23(14)32-8-6-31(7-9-32)18(33)4-5-26/h2-3,10-12H,4-9,26H2,1H3,(H,29,30)"
Standard Inchi Key(RDKit),VJDYKBMYNVLSKK-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc2[nH]ncc2c1-c1c(Cl)cc2c(N3CCN(C(=O)CCN)CC3)ncnc2c1F
SMILES(SDF),
MW(SDF),
MW(RDKit),467.936
MW Monoisotopic(RDKit),467.163664256
MolLogP(RDKit),3.27142
XLogP(SDF),
XLogP(CDK),3.913
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),104.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.477077592638456
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,KRAS/SOS1
Common Target Pref Name,KRAS/SOS1
RDKit Descriptors
Ipc,48398199.372566134
qed,0.477077592638456
Chi0,23.112155217263346
Chi1,15.990402300641941
TPSA,104.03
Chi0n,18.10698751623915
Chi0v,18.862916462257605
Chi1n,10.778141027664423
Chi1v,11.15610550067365
Chi2n,8.136023697538631
Chi2v,8.543223824279236
Chi3n,6.172772890984297
Chi3v,6.470864072606906
Chi4n,4.504949837121131
Chi4v,4.791509745331872
MolMR,126.79510000000003
MolWt,467.9360000000003
fr_SH,0
Kappa1,21.540731185446734
Kappa2,8.5669358760392
Kappa3,3.6665973129465663
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,5
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1364.1885357274934
MolLogP,3.2714200000000018
NOCount,8
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.5668416950605848
SMR_VSA1,9.184952231746642
SMR_VSA2,0.0
SMR_VSA3,25.06523038934697
SMR_VSA4,5.733667477162185
SMR_VSA5,13.344558822616634
SMR_VSA6,37.62369176041336
SMR_VSA7,47.12657049824667
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,194.09197185020474
NHOHCount,3
PEOE_VSA1,15.533486938863142
PEOE_VSA2,9.893218992372859
PEOE_VSA3,14.358372089569237
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,17.667306958694127
PEOE_VSA7,24.619922828310838
PEOE_VSA8,61.04395506481246
PEOE_VSA9,16.736177602970663
RingCount,5
SMR_VSA10,45.13183226158116
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,467.16366425600006
NumHDonors,2
PEOE_VSA10,17.66188357021583
PEOE_VSA11,5.817220841045895
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012664
SlogP_VSA2,63.69619214826135
SlogP_VSA3,4.794537184071822
SlogP_VSA4,12.740958040736519
SlogP_VSA5,11.984273114623004
SlogP_VSA6,30.72326485176245
