DLiP-ID,C100VO
DLiP-Mol-ID,36527
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C29H40N2O5/c1-20(2)17-30-26(32)28(4,5)22-12-13-29(18-35-19-34-6)23(16-22)14-21(3)15-25(29)36-27(33)31-24-10-8-7-9-11-24/h7-14,22-23,25H,1,15-19H2,2-6H3,(H,30,32)(H,31,33)/t22-,23+,25+,29+/m1/s1"
Standard Inchi Key(RDKit),BJNWHSZSRCJLNX-IQCCBIBNSA-N
Canonical SMILES(RDKit),C=C(C)CNC(=O)C(C)(C)[C@@H]1C=C[C@@]2(COCOC)[C@@H](OC(=O)Nc3ccccc3)CC(C)=C[C@H]2C1
SMILES(SDF),
MW(SDF),
MW(RDKit),496.648
MW Monoisotopic(RDKit),496.29372238
MolLogP(RDKit),5.47140000000001
XLogP(SDF),
XLogP(CDK),3.384
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),85.89
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.254812595085126
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Induced myeloid leukemia cell differentiation protein Mcl-1/Bcl-2-like protein 11
Common Target Pref Name,Induced myeloid leukemia cell differentiation protein Mcl-1/Bcl-2-like protein 11
RDKit Descriptors
Ipc,62373776.43431424
qed,0.25481259508512644
Chi0,26.346724214874854
Chi1,17.079389803658422
TPSA,85.89000000000001
Chi0n,22.134735100524484
Chi0v,22.134735100524484
Chi1n,12.468919490194597
Chi1v,12.468919490194597
Chi2n,10.63875716485921
Chi2v,10.63875716485921
Chi3n,7.315221702766773
Chi3v,7.315221702766773
Chi4n,5.115493701448303
Chi4v,5.115493701448303
MolMR,141.31039999999987
MolWt,496.6480000000002
fr_SH,0
Kappa1,27.683680327270075
Kappa2,11.89005901478625
Kappa3,6.44897155320985
fr_ArN,0
fr_COO,0
