DLiP-ID,T0053B
DLiP-Mol-ID,21870
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H32N4O4/c1-26-14-18-12-17(2-3-19(18)25-20(23(26)31)13-21(28)29)22(30)27-10-6-16(7-11-27)15-4-8-24-9-5-15/h2-3,12,15-16,20,24-25H,4-11,13-14H2,1H3,(H,28,29)/t20-/m0/s1"
Standard Inchi Key(RDKit),PYZOVVQJTLOHDG-FQEVSTJZSA-N
Canonical SMILES(RDKit),CN1Cc2cc(C(=O)N3CCC(C4CCNCC4)CC3)ccc2N[C@@H](CC(=O)O)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),428.533
MW Monoisotopic(RDKit),428.242355504
MolLogP(RDKit),1.7656
XLogP(SDF),
XLogP(CDK),1.808
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),101.98
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.675610936933735
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,11508027.503277646
qed,0.6756109369337351
Chi0,21.9574546788841
Chi1,14.918723993369943
TPSA,101.98000000000002
Chi0n,18.101555084894695
Chi0v,18.101555084894695
Chi1n,11.283262211424155
Chi1v,11.283262211424155
Chi2n,9.078072928425685
Chi2v,9.078072928425685
Chi3n,7.01981115520358
Chi3v,7.01981115520358
Chi4n,5.232431521890028
Chi4v,5.232431521890028
MolMR,116.80070000000008
MolWt,428.5330000000002
fr_SH,0
Kappa1,21.615576635532324
Kappa2,9.258709271064447
Kappa3,4.841582925917782
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,2
