DLiP-ID,T007DJ
DLiP-Mol-ID,25400
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H18FN3O4/c21-16-8-12(19(22)23)3-5-15(16)20(28)24-13-4-6-14-10(7-13)1-2-11(18(14)27)9-17(25)26/h3-8,11H,1-2,9H2,(H3,22,23)(H,24,28)(H,25,26)"
Standard Inchi Key(RDKit),XNQTZNPDLAFJJK-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(C(=O)Nc2ccc3c(c2)CCC(CC(=O)O)C3=O)c(F)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),383.379
MW Monoisotopic(RDKit),383.128134276
MolLogP(RDKit),2.58187
XLogP(SDF),
XLogP(CDK),2.296
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),133.34
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.465111566221827
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1493158.6284214393
qed,0.465111566221827
Chi0,20.421920772951363
Chi1,13.256927950821467
TPSA,133.34
Chi0n,14.790045436977426
Chi0v,14.790045436977426
Chi1n,8.601982844679458
Chi1v,8.601982844679458
Chi2n,6.632063009514398
Chi2v,6.632063009514398
Chi3n,4.707234454947403
Chi3v,4.707234454947403
Chi4n,3.2701895860629198
Chi4v,3.2701895860629198
MolMR,100.20560000000005
MolWt,383.37900000000013
fr_SH,0
Kappa1,19.218221954609938
Kappa2,7.5941911196570056
Kappa3,3.902116040085337
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1002.9404744889872
MolLogP,2.5818700000000003
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.7785004897395553
SMR_VSA1,23.880553994730988
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,11.651573523323577
SMR_VSA5,19.26246486877803
SMR_VSA6,5.316788604006331
SMR_VSA7,64.46922921860354
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,159.42164242234372
NHOHCount,5
PEOE_VSA1,16.156983476009223
PEOE_VSA2,19.792895158006985
PEOE_VSA3,4.39041504767482
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,48.73693007985707
PEOE_VSA8,22.73219530423895
PEOE_VSA9,11.984273114623004
RingCount,3
SMR_VSA10,29.182736024109126
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,383.1281342759999
NumHDonors,4
PEOE_VSA10,11.652840626803165
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
