DLiP-ID,C003EO
DLiP-Mol-ID,31684
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H10N6O4/c12-16-11(19)9-8(13-5-14-9)10(18)15-6-3-1-2-4-7(6)17(20)21/h1-5H,12H2,(H,13,14)(H,15,18)(H,16,19)"
Standard Inchi Key(RDKit),GGNICRLLGZPDME-UHFFFAOYSA-N
Canonical SMILES(RDKit),NNC(=O)c1[nH]cnc1C(=O)Nc1ccccc1[N+](=O)[O-]
SMILES(SDF),
MW(SDF),
MW(RDKit),290.239
MW Monoisotopic(RDKit),290.0763528
MolLogP(RDKit),0.1737
XLogP(SDF),
XLogP(CDK),0.856
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),156.04
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.272001894755067
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,67041.0131897003
qed,0.2720018947550666
Chi0,15.405412915006313
Chi1,10.040912557858762
TPSA,156.04000000000002
Chi0n,10.491521967993124
