DLiP-ID,C100MH
DLiP-Mol-ID,35846
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H16ClN3O5S/c24-15-6-8-16(9-7-15)25-20(28)13-27-21(29)19(33-23(27)32)12-18-5-2-10-26(18)17-4-1-3-14(11-17)22(30)31/h1-12H,13H2,(H,25,28)(H,30,31)/b19-12-"
Standard Inchi Key(RDKit),XZSRNQWOJFICNY-UNOMPAQXSA-N
Canonical SMILES(RDKit),O=C(CN1C(=O)S/C(=C\c2cccn2-c2cccc(C(=O)O)c2)C1=O)Nc1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),481.917
MW Monoisotopic(RDKit),481.049919292
MolLogP(RDKit),4.5039
XLogP(SDF),
XLogP(CDK),3.268
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),108.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.501500967487772
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,32159976.312866375
qed,0.5015009674877721
Chi0,23.53480494807372
Chi1,15.812570843487293
TPSA,108.71000000000001
Chi0n,16.896156723290478
Chi0v,18.46858225023666
Chi1n,9.635167623546312
Chi1v,10.829628677483267
Chi2n,6.98146161391935
Chi2v,8.411088797752436
Chi3n,4.733836666681371
Chi3v,5.893204705325166
Chi4n,3.183588556575951
Chi4v,4.132533471422479
MolMR,125.48700000000002
MolWt,481.91700000000014
fr_SH,0
Kappa1,22.37665600697753
Kappa2,9.352420398567373
Kappa3,4.995498556210241
fr_ArN,0
fr_COO,1
fr_C_O,4
fr_C_S,0
fr_NH0,2
fr_NH1,1
