DLiP-ID,T000BA
DLiP-Mol-ID,15745
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H31N3O6/c1-13(27-14(2)25)10-24-18(26)9-16-19-20(30-21(3,4)29-19)17(28-16)12-23-11-15-5-7-22-8-6-15/h5-8,13,16-17,19-20,23H,9-12H2,1-4H3,(H,24,26)/t13-,16-,17+,19+,20-/m1/s1"
Standard Inchi Key(RDKit),AWSBNMDNFNWCQF-AEDWNXJWSA-N
Canonical SMILES(RDKit),CC(=O)O[C@H](C)CNC(=O)C[C@H]1O[C@@H](CNCc2ccncc2)[C@H]2OC(C)(C)O[C@@H]12
SMILES(SDF),
MW(SDF),
MW(RDKit),421.494
MW Monoisotopic(RDKit),421.221285712
MolLogP(RDKit),0.916600000000001
XLogP(SDF),
XLogP(CDK),0.275
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),108.01
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.56690855534872
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Neuropilin-1/VEGF-A
Common Target Pref Name,Neuropilin-1/VEGF-A
RDKit Descriptors
Ipc,4507542.1589694405
qed,0.5669085553487199
Chi0,21.725403871315223
Chi1,14.231983924439135
TPSA,108.01
Chi0n,17.921282885735963
Chi0v,17.921282885735963
Chi1n,10.279408837035438
Chi1v,10.279408837035438
Chi2n,8.192363571640271
Chi2v,8.192363571640271
Chi3n,5.010461735958571
Chi3v,5.010461735958571
Chi4n,3.797006426983751
Chi4v,3.797006426983751
MolMR,107.28440000000006
MolWt,421.49400000000014
fr_SH,0
Kappa1,22.61154349233857
Kappa2,9.824707059184261
Kappa3,6.212976650017508
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,728.7117019358615
MolLogP,0.9166000000000023
NOCount,9
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5161839017885335
SMR_VSA1,28.536526183343838
SMR_VSA2,0.0
SMR_VSA3,15.617555728959871
SMR_VSA4,0.0
SMR_VSA5,76.96746991891318
SMR_VSA6,13.08951281182515
SMR_VSA7,30.08987277184637
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,4
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,176.3554121090619
NHOHCount,2
PEOE_VSA1,29.581029023212857
PEOE_VSA2,14.573052889090853
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,38.46739722769209
PEOE_VSA8,32.406937154741925
PEOE_VSA9,25.173510804335187
RingCount,3
SMR_VSA10,11.876485017303356
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,421.221285712
NumHDonors,2
PEOE_VSA10,18.31189916324491
PEOE_VSA11,5.7871111525705965
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012662
SlogP_VSA2,66.25691944138782
SlogP_VSA3,35.08128258925642
SlogP_VSA4,0.0
SlogP_VSA5,39.679221913385504
SlogP_VSA6,24.52642128014937
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.8910775403189
EState_VSA2,49.25792859713515
EState_VSA3,13.08951281182515
EState_VSA4,5.563451491696996
