DLiP-ID,C001ZM
DLiP-Mol-ID,27336
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H14N2O/c20-13-9-7-12(8-10-13)17-18-14-5-1-3-11-4-2-6-15(19-17)16(11)14/h1-10,17-20H"
Standard Inchi Key(RDKit),FADYQKSIESMOII-UHFFFAOYSA-N
Canonical SMILES(RDKit),Oc1ccc(C2Nc3cccc4cccc(c34)N2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),262.312
MW Monoisotopic(RDKit),262.110613068
MolLogP(RDKit),4.0816
XLogP(SDF),
XLogP(CDK),3.914
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),44.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.618801674782909
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,72782.16305502118
qed,0.6188016747829093
Chi0,13.526733258565956
Chi1,9.809663088089318
TPSA,44.29
Chi0n,10.798066556585844
Chi0v,10.798066556585844
Chi1n,6.649033278292922
Chi1v,6.649033278292922
Chi2n,5.022478976145051
Chi2v,5.022478976145051
Chi3n,3.7308013746277506
Chi3v,3.7308013746277506
Chi4n,2.7620797030424225
Chi4v,2.7620797030424225
MolMR,82.04120000000003
MolWt,262.312
fr_SH,0
Kappa1,11.17225370450741
Kappa2,4.166575838374838
Kappa3,1.6740479960166734
fr_ArN,0
fr_COO,0
