DLiP-ID,C001QW
DLiP-Mol-ID,32791
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16N4O4/c24-8-7-20-19(25)21-12-5-6-13-14(11-12)23-18(16-4-2-10-27-16)17(22-13)15-3-1-9-26-15/h1-6,9-11,24H,7-8H2,(H2,20,21,25)"
Standard Inchi Key(RDKit),JCKIKRVDPZFUHY-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NCCO)Nc1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),364.361
MW Monoisotopic(RDKit),364.117154992
MolLogP(RDKit),3.2636
XLogP(SDF),
XLogP(CDK),0.605
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),113.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.500818582192657
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2949142.7649496566
qed,0.5008185821926573
Chi0,18.63961743368832
Chi1,13.241514740667455
TPSA,113.42
Chi0n,14.176751642971194
Chi0v,14.176751642971194
Chi1n,8.296702778332397
Chi1v,8.296702778332397
Chi2n,5.6834243958994275
Chi2v,5.6834243958994275
Chi3n,3.8285934145666354
Chi3v,3.8285934145666354
Chi4n,2.6470000007422674
Chi4v,2.6470000007422674
MolMR,99.0492
MolWt,364.3610000000001
fr_SH,0
Kappa1,16.79889442586118
Kappa2,7.302844846588497
Kappa3,3.5101482466112155
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1058.965390393493
MolLogP,3.263600000000001
NOCount,8
fr_Ar_N,2
fr_COO2,0
fr_urea,1
BalabanJ,1.7600238106098611
SMR_VSA1,18.73536645301922
SMR_VSA2,0.0
SMR_VSA3,15.284745645900749
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,18.468426974431825
SMR_VSA7,54.990895470509386
SMR_VSA8,0.0
SMR_VSA9,22.90835082744581
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,2
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,153.4055171160526
NHOHCount,3
PEOE_VSA1,24.57440647696006
PEOE_VSA2,0.0
PEOE_VSA3,14.76249422596624
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,42.46456947923127
PEOE_VSA8,12.232142680596137
PEOE_VSA9,30.166609391023556
RingCount,4
SMR_VSA10,22.75190222225416
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,364.117154992
NumHDonors,3
PEOE_VSA10,11.387855989696922
PEOE_VSA11,11.520494837748885
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,10.633577208012662
SlogP_VSA2,34.257237319498685
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,63.82519734461608
SlogP_VSA7,0.0
SlogP_VSA8,33.94175226267833
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,6.031114512338072
EState_VSA2,13.151638370425493
EState_VSA3,39.6291385373619
EState_VSA4,0.0
EState_VSA5,0.0
EState_VSA6,48.92452840204778
EState_VSA7,6.06636706846161
EState_VSA8,20.60153424990708
EState_VSA9,13.9408292689474
SlogP_VSA10,10.481923458755384
