DLiP-ID,J1005F
DLiP-Mol-ID,36897
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H20N4O/c1-5-19(6-2)14-9-7-13(8-10-14)16-17-15-11(3)18-20-12(15)4/h7-10H,5-6H2,1-4H3"
Standard Inchi Key(RDKit),CERHJGMJDPOBLB-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)c1ccc(N=Nc2c(C)noc2C)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),272.352
MW Monoisotopic(RDKit),272.16371126
MolLogP(RDKit),4.55304
XLogP(SDF),
XLogP(CDK),4.659
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),53.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.749969212105768
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,42151.3822982856
qed,0.7499692121057675
Chi0,14.535169427003234
Chi1,9.651397005390978
TPSA,53.99
Chi0n,12.420717311595295
Chi0v,12.420717311595295
Chi1n,6.849161821519593
Chi1v,6.849161821519593
Chi2n,4.561465273352716
Chi2v,4.561465273352716
Chi3n,3.2394569353167877
Chi3v,3.2394569353167877
Chi4n,2.0475343911790755
Chi4v,2.0475343911790755
MolMR,80.15600000000003
MolWt,272.352
fr_SH,0
Kappa1,14.243572651182891
Kappa2,6.321165095822189
Kappa3,3.0420000814351544
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,1
BertzCT,562.9210237184805
MolLogP,4.553040000000004
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.149611786542933
SMR_VSA1,4.523094936973348
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
