DLiP-ID,T0080G
DLiP-Mol-ID,26400
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H23N5O4S2/c1-15-8-10-18(11-9-15)33(30,31)27-13-12-26(21(27)17-6-4-3-5-7-17)19(28)14-32-22-23-20(29)16(2)24-25-22/h3-11,21H,12-14H2,1-2H3,(H,23,25,29)"
Standard Inchi Key(RDKit),ZLSPORQTJBNEEH-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(S(=O)(=O)N2CCN(C(=O)CSc3nnc(C)c(=O)[nH]3)C2c2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),485.591
MW Monoisotopic(RDKit),485.119146216
MolLogP(RDKit),2.10574
XLogP(SDF),
XLogP(CDK),2.217
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),116.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.531647525214155
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,31346963.620441727
qed,0.5316475252141551
Chi0,23.587211190881014
Chi1,15.768894079108883
TPSA,116.33000000000001
Chi0n,18.133167160238916
Chi0v,19.76616032209437
Chi1n,10.265032272225831
Chi1v,12.690694160679962
Chi2n,7.633655994869489
Chi2v,10.488259195998499
Chi3n,5.347183129901273
Chi3v,8.063228381650688
Chi4n,3.592417120814735
Chi4v,5.853090985551365
MolMR,124.0805
MolWt,485.5910000000001
fr_SH,0
Kappa1,23.14872566610559
Kappa2,9.457062078654447
Kappa3,4.845712565401201
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1310.6177789990609
MolLogP,2.1057399999999995
NOCount,9
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.6092329780880186
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,24.386467859695994
SMR_VSA4,0.0
SMR_VSA5,30.065169968854256
SMR_VSA6,18.842366418571938
SMR_VSA7,81.77193867352078
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,195.44835014839086
NHOHCount,1
PEOE_VSA1,4.899909730850478
PEOE_VSA2,14.573052889090853
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,10.197363616602075
PEOE_VSA6,59.78990592031938
PEOE_VSA7,31.54366002800146
PEOE_VSA8,13.08951281182515
PEOE_VSA9,10.648337082264565
RingCount,4
SMR_VSA10,27.692355832150206
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
