DLiP-ID,C002HA
DLiP-Mol-ID,31192
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H16O4/c18-15-8-6-14(12-16(15)19)7-9-17(20)21-11-10-13-4-2-1-3-5-13/h1-9,12,18-19H,10-11H2/b9-7+"
Standard Inchi Key(RDKit),SWUARLUWKZWEBQ-VQHVLOKHSA-N
Canonical SMILES(RDKit),O=C(/C=C/c1ccc(O)c(O)c1)OCCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),284.311
MW Monoisotopic(RDKit),284.104858992
MolLogP(RDKit),2.8969
XLogP(SDF),
XLogP(CDK),3.447
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.503107513883758
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,60391.66837758532
qed,0.5031075138837579
Chi0,15.079139501373252
Chi1,10.147867045540842
TPSA,66.76
Chi0n,11.398640026196999
Chi0v,11.398640026196999
Chi1n,6.557091487910411
Chi1v,6.557091487910411
Chi2n,4.484580921967702
Chi2v,4.484580921967702
Chi3n,2.8892193334932172
Chi3v,2.8892193334932172
Chi4n,1.7706614792579747
Chi4v,1.7706614792579747
MolMR,79.91060000000003
MolWt,284.311
fr_SH,0
Kappa1,14.654790015179625
Kappa2,7.144520145083815
Kappa3,4.688965592811747
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,632.4932971348599
MolLogP,2.8969000000000005
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8092297339060972
SMR_VSA1,19.744454927553285
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,6.606881964512918
SMR_VSA7,65.73385963792076
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,122.48713969930247
NHOHCount,2
PEOE_VSA1,14.94991774348146
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,29.335657227151092
PEOE_VSA8,12.49684172975989
PEOE_VSA9,6.606881964512918
RingCount,2
