DLiP-ID,T003QE
DLiP-Mol-ID,20669
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H19N5/c1-3-9-17(10-4-1)14-16-24-22-20(18-11-5-2-6-12-18)26-27-21(25-22)19-13-7-8-15-23-19/h1-13,15H,14,16H2,(H,24,25,27)"
Standard Inchi Key(RDKit),MAJTYCMZKVEQLD-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc(CCNc2nc(-c3ccccn3)nnc2-c2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),353.429
MW Monoisotopic(RDKit),353.164045608
MolLogP(RDKit),4.2552
XLogP(SDF),
XLogP(CDK),4.036
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),63.59
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.561163116015155
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,2875288.842528533
qed,0.5611631160151553
Chi0,18.313344020055254
Chi1,13.398979485566358
TPSA,63.59
Chi0n,14.785971713027694
Chi0v,14.785971713027694
Chi1n,8.893381999324335
Chi1v,8.893381999324335
Chi2n,6.076002351405453
Chi2v,6.076002351405453
Chi3n,4.176892774034045
