DLiP-ID,T000LT
DLiP-Mol-ID,16184
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H21N3O4/c23-13-16-8-6-15(7-9-16)12-18(22(28)29)24-21(27)19-10-11-20(26)25(19)14-17-4-2-1-3-5-17/h1-9,18-19H,10-12,14H2,(H,24,27)(H,28,29)/t18-,19-/m0/s1"
Standard Inchi Key(RDKit),BSUQKQDWYSOUBT-OALUTQOASA-N
Canonical SMILES(RDKit),N#Cc1ccc(C[C@H](NC(=O)[C@@H]2CCC(=O)N2Cc2ccccc2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),391.427
MW Monoisotopic(RDKit),391.153206152
MolLogP(RDKit),1.86138
XLogP(SDF),
XLogP(CDK),1.891
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),110.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.748501651113323
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3961859.645674083
qed,0.7485016511133232
Chi0,20.802754140504845
Chi1,13.97356554823633
TPSA,110.50000000000001
Chi0n,15.745665743723542
Chi0v,15.745665743723542
Chi1n,9.332852448770595
Chi1v,9.332852448770595
Chi2n,6.973974242461965
Chi2v,6.973974242461965
Chi3n,4.964047976566443
Chi3v,4.964047976566443
Chi4n,3.403629755891115
Chi4v,3.403629755891115
MolMR,104.44150000000003
MolWt,391.427
fr_SH,0
Kappa1,20.084024286545272
Kappa2,9.020239321514198
Kappa3,4.9898629908303995
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,934.7797795194964
MolLogP,1.8613799999999996
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.6836633510969117
SMR_VSA1,19.490138947056174
SMR_VSA2,5.261891554738487
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,37.89090293298653
SMR_VSA6,0.0
SMR_VSA7,71.28765809124549
SMR_VSA8,0.0
SMR_VSA9,6.069221312792274
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,168.11316290360526
NHOHCount,2
PEOE_VSA1,15.323225729697514
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.794537184071822
PEOE_VSA4,5.261891554738487
