DLiP-ID,C000OH
DLiP-Mol-ID,31125
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H13N3O2/c21-16-8-4-2-6-14(16)17(22)20-19-11-12-9-10-18-15-7-3-1-5-13(12)15/h1-11,21H,(H,20,22)/b19-11+"
Standard Inchi Key(RDKit),ULFBABPETWHPDV-YBFXNURJSA-N
Canonical SMILES(RDKit),O=C(N/N=C/c1ccnc2ccccc12)c1ccccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),291.31
MW Monoisotopic(RDKit),291.100776656
MolLogP(RDKit),2.7043
XLogP(SDF),
XLogP(CDK),4.549
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),74.58
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.575267221987071
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,146281.4304961082
qed,0.5752672219870706
Chi0,15.363596551749426
Chi1,10.754020195423491
TPSA,74.58
Chi0n,11.600742038049624
Chi0v,11.600742038049624
Chi1n,6.706726458878402
Chi1v,6.706726458878402
Chi2n,4.6336036620235435
Chi2v,4.6336036620235435
Chi3n,3.2011752077559037
Chi3v,3.2011752077559037
Chi4n,2.1168688420860047
Chi4v,2.1168688420860047
MolMR,84.91000000000003
MolWt,291.31
fr_SH,0
Kappa1,13.758455946810924
Kappa2,6.05053824746421
Kappa3,2.7821170445948695
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,853.9067944170513
MolLogP,2.7043000000000013
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7963570669705868
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,10.409769918057593
SMR_VSA4,5.101407525739723
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,71.92105017116157
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,126.49077060897886
NHOHCount,2
PEOE_VSA1,5.106527394840706
PEOE_VSA2,9.77851570501903
PEOE_VSA3,5.425791397110385
PEOE_VSA4,5.101407525739723
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,24.26546827384644
PEOE_VSA8,17.146519277774868
PEOE_VSA9,17.294752788848573
RingCount,3
SMR_VSA10,23.024705240967883
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,291.100776656
NumHDonors,2
PEOE_VSA10,5.749511833283905
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.425791397110385
SlogP_VSA2,22.212286224674735
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,15.921440167465814
