DLiP-ID,C001QH
DLiP-Mol-ID,32768
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H16N4O/c1-20(2)12-7-5-6-11(10-12)15(21)19-16-17-13-8-3-4-9-14(13)18-16/h3-10H,1-2H3,(H2,17,18,19,21)"
Standard Inchi Key(RDKit),YBHKNPOLPRIBBG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(C)c1cccc(C(=O)Nc2nc3ccccc3[nH]2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),280.331
MW Monoisotopic(RDKit),280.132411132
MolLogP(RDKit),2.8812
XLogP(SDF),
XLogP(CDK),3.418
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),61.02
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.775195460020856
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,92101.58997267122
qed,0.7751954600208556
Chi0,14.819626477379408
Chi1,10.131030293135234
TPSA,61.02
Chi0n,11.92147763498079
Chi0v,11.92147763498079
Chi1n,6.6680892037173285
Chi1v,6.6680892037173285
Chi2n,5.001438939326612
Chi2v,5.001438939326612
Chi3n,3.2460491403129756
Chi3v,3.2460491403129756
Chi4n,2.117028279813035
Chi4v,2.117028279813035
MolMR,84.81590000000003
MolWt,280.33099999999996
fr_SH,0
Kappa1,13.176433486137155
Kappa2,5.282136487336524
Kappa3,2.71578168094063
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,758.5811296593272
MolLogP,2.8812000000000006
NOCount,5
fr_Ar_N,2
fr_COO2,0
