DLiP-ID,C003DU
DLiP-Mol-ID,31550
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H18N2O2S2/c1-4-18-15(16(20)23-17(18)22)13-8-11(2)19(12(3)9-13)10-14-6-5-7-21-14/h5-9H,4,10H2,1-3H3"
Standard Inchi Key(RDKit),AQWLITYTSYRLNQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN1C(=S)SC(=O)C1=C1C=C(C)N(Cc2ccco2)C(C)=C1
SMILES(SDF),
MW(SDF),
MW(RDKit),346.477
MW Monoisotopic(RDKit),346.080969816
MolLogP(RDKit),4.0371
XLogP(SDF),
XLogP(CDK),2.988
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),36.69
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.607293934860068
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,216973.73902304634
qed,0.6072939348600676
Chi0,16.560113453385565
Chi1,11.007239053047545
TPSA,36.690000000000005
Chi0n,13.328385261176594
Chi0v,14.961378423032047
Chi1n,7.453908221009319
Chi1v,8.678653092400907
Chi2n,5.440581030010899
Chi2v,7.047311025478206
Chi3n,3.9276644595263726
Chi3v,5.171802532842239
Chi4n,2.815379773101193
Chi4v,4.076725875677401
MolMR,96.36700000000005
MolWt,346.47700000000003
fr_SH,0
Kappa1,16.08136890177743
Kappa2,6.372574110880909
Kappa3,3.0068945937832203
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,1
fr_NH0,2
fr_NH1,0
