DLiP-ID,I001GH
DLiP-Mol-ID,29915
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H26N4O/c30-24-7-3-5-21-23(13-15-27-25(21)24)29-19-10-8-18(9-11-19)26-14-12-17-16-28-22-6-2-1-4-20(17)22/h1-2,4,6,8-11,13,15-16,24,26,28,30H,3,5,7,12,14H2,(H,27,29)/t24-/m1/s1"
Standard Inchi Key(RDKit),YRYJBIZQHGZTTN-XMMPIXPASA-N
Canonical SMILES(RDKit),O[C@@H]1CCCc2c(Nc3ccc(NCCc4c[nH]c5ccccc45)cc3)ccnc21
SMILES(SDF),
MW(SDF),
MW(RDKit),398.51
MW Monoisotopic(RDKit),398.210661452
MolLogP(RDKit),5.3308
XLogP(SDF),
XLogP(CDK),3.547
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),72.97
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.354142164483038
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,15512060.979685668
qed,0.3541421644830377
Chi0,20.338288046437583
Chi1,14.775989583278104
TPSA,72.97
Chi0n,16.85816432720817
Chi0v,16.85816432720817
Chi1n,10.595664385436116
Chi1v,10.595664385436116
Chi2n,7.868956836292711
Chi2v,7.868956836292711
Chi3n,5.8713916274435825
Chi3v,5.8713916274435825
Chi4n,4.291377918551935
Chi4v,4.291377918551935
MolMR,122.35190000000001
MolWt,398.5100000000001
fr_SH,0
Kappa1,18.701782653790666
Kappa2,8.204312510251775
Kappa3,3.7619839329992133
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1149.502336344345
MolLogP,5.330800000000004
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
