DLiP-ID,T003OU
DLiP-Mol-ID,20613
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H12O4S/c15-14(16)10-19(17,18)13-8-6-12(7-9-13)11-4-2-1-3-5-11/h1-9H,10H2,(H,15,16)"
Standard Inchi Key(RDKit),LXRDFDDOMVFUNV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CS(=O)(=O)c1ccc(-c2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),276.313
MW Monoisotopic(RDKit),276.045629864
MolLogP(RDKit),2.2119
XLogP(SDF),
XLogP(CDK),2.6
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),71.44
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.928978965912703
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,E1/E2
Common Target Pref Name,E1/E2
RDKit Descriptors
Ipc,18425.112440363035
qed,0.9289789659127029
Chi0,13.880468888623982
Chi1,8.988000430147714
TPSA,71.44
Chi0n,9.983465961248593
Chi0v,10.799962542176319
Chi1n,5.58946775430414
Chi1v,7.241732980624294
Chi2n,4.043226785399093
Chi2v,6.0328021929920705
Chi3n,2.6340506357416844
Chi3v,4.251440078274938
Chi4n,1.73121323110988
Chi4v,2.7737445609561537
MolMR,71.56660000000004
MolWt,276.31300000000005
fr_SH,0
Kappa1,13.29538834458379
Kappa2,5.237014311699203
Kappa3,3.199173546915407
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,673.1457206307047
MolLogP,2.2119
NOCount,4
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.3163963706131003
SMR_VSA1,18.318861563241466
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,4.895483475517775
SMR_VSA6,5.752853606746789
SMR_VSA7,54.59730361615449
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
