DLiP-ID,C001SF
DLiP-Mol-ID,32848
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H14N4/c1-3-7-12(8-4-1)16-14-11-15(19-18-14)17-13-9-5-2-6-10-13/h1-11H,(H3,16,17,18,19)"
Standard Inchi Key(RDKit),LINHOSSSJLYLGM-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc(Nc2cc(Nc3ccccc3)[nH]n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),250.305
MW Monoisotopic(RDKit),250.121846448
MolLogP(RDKit),3.8969
XLogP(SDF),
XLogP(CDK),4.033
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),52.74
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.657944278631133
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,47813.01437457759
qed,0.6579442786311335
Chi0,12.91600279455672
Chi1,9.398979485566358
TPSA,52.739999999999995
Chi0n,10.298066556585844
Chi0v,10.298066556585844
Chi1n,6.095931069735503
Chi1v,6.095931069735503
