DLiP-ID,C000UQ
DLiP-Mol-ID,31407
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H8N2O6S/c15-13(16)9-5-1-3-7-11(9)21(19,20)12-8-4-2-6-10(12)14(17)18/h1-8H"
Standard Inchi Key(RDKit),IHZVFZOUXUNSPQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=[N+]([O-])c1ccccc1S(=O)(=O)c1ccccc1[N+](=O)[O-]
SMILES(SDF),
MW(SDF),
MW(RDKit),308.271
MW Monoisotopic(RDKit),308.010306976
MolLogP(RDKit),2.3358
XLogP(SDF),
XLogP(CDK),2.78
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),120.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.630955698255289
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,43962.72667795821
qed,0.6309556982552892
Chi0,15.620955864630139
Chi1,9.853077841136917
TPSA,120.42000000000002
Chi0n,10.370967377763966
Chi0v,11.187463958691692
Chi1n,5.573792501016629
Chi1v,7.056955748611021
Chi2n,3.9531057457637555
Chi2v,5.839632132405201
Chi3n,2.702936687381993
Chi3v,4.551438579009004
Chi4n,1.788938100521666
Chi4v,3.3771149480783254
MolMR,71.64460000000003
MolWt,308.271
fr_SH,0
Kappa1,14.596021787554912
Kappa2,5.2881210040043145
Kappa3,2.5825033732001335
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
