DLiP-ID,T003AH
DLiP-Mol-ID,19982
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H23Cl2N3O4/c25-18-8-4-9-19(26)22(18)23(30)29-20(24(31)32)15-16-6-3-7-17(14-16)33-13-5-12-28-21-10-1-2-11-27-21/h1-4,6-11,14,20H,5,12-13,15H2,(H,27,28)(H,29,30)(H,31,32)/t20-/m0/s1"
Standard Inchi Key(RDKit),KRNPACMXJWBKFZ-FQEVSTJZSA-N
Canonical SMILES(RDKit),O=C(N[C@@H](Cc1cccc(OCCCNc2ccccn2)c1)C(=O)O)c1c(Cl)cccc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),488.371
MW Monoisotopic(RDKit),487.106561576
MolLogP(RDKit),4.6951
XLogP(SDF),
XLogP(CDK),3.065
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),100.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.338720357880813
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,22266420.231280457
qed,0.3387203578808129
Chi0,23.63118126525104
Chi1,15.93556074577555
TPSA,100.55
Chi0n,17.631731363431665
Chi0v,19.143589255468573
Chi1n,10.281189144884017
Chi1v,11.03711809090247
Chi2n,7.15624264142857
Chi2v,7.970642894909782
Chi3n,4.692373000066292
Chi3v,5.322313788415003
Chi4n,3.0891532340459
Chi4v,3.6582407087450535
MolMR,128.33670000000004
MolWt,488.3710000000001
fr_SH,0
Kappa1,24.354350543164507
Kappa2,12.085012423634735
