DLiP-ID,C002XT
DLiP-Mol-ID,33311
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H11NO3/c16-12(11-2-1-7-15-11)5-3-10-4-6-13-14(8-10)18-9-17-13/h1-8,15H,9H2/b5-3+"
Standard Inchi Key(RDKit),OTVNXYQKOLOLGW-HWKANZROSA-N
Canonical SMILES(RDKit),O=C(/C=C/c1ccc2c(c1)OCO2)c1ccc[nH]1
SMILES(SDF),
MW(SDF),
MW(RDKit),241.246
MW Monoisotopic(RDKit),241.073893212
MolLogP(RDKit),2.6395
XLogP(SDF),
XLogP(CDK),2.147
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),51.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.663501285411115
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,30047.376459991647
qed,0.6635012854111147
Chi0,12.372032720186704
Chi1,8.826499840494924
TPSA,51.32
Chi0n,9.550653806095145
Chi0v,9.550653806095145
Chi1n,5.582457114977258
Chi1v,5.582457114977258
Chi2n,3.894078934045463
Chi2v,3.894078934045463
Chi3n,2.6871947111556866
Chi3v,2.6871947111556866
Chi4n,1.7620942526303753
Chi4v,1.7620942526303753
MolMR,66.72220000000003
MolWt,241.246
fr_SH,0
Kappa1,10.650606281602645
Kappa2,4.408506525534086
Kappa3,2.0004883630912706
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,599.5065944716713
MolLogP,2.6395
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.7833431216419138
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,6.792942306099827
SMR_VSA7,53.86207850730047
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,103.85060457750576
NHOHCount,1
PEOE_VSA1,14.457704428547306
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.142387175295491
PEOE_VSA7,35.90493987237732
PEOE_VSA8,6.196843571613076
PEOE_VSA9,5.693927994848461
RingCount,3
SMR_VSA10,11.85926505319882
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,241.073893212
NumHDonors,1
PEOE_VSA10,0.0
