DLiP-ID,T004TB
DLiP-Mol-ID,21421
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H29N3O5S/c1-16-12-17(2)24(18(3)13-16)35(33,34)29-23(25(30)31)14-19-8-10-20(11-9-19)21-6-5-7-22(15-21)28-26(32)27-4/h5-13,15,23,29H,14H2,1-4H3,(H,30,31)(H2,27,28,32)/t23-/m0/s1"
Standard Inchi Key(RDKit),PBKZSXJOJVJPDW-QHCPKHFHSA-N
Canonical SMILES(RDKit),CNC(=O)Nc1cccc(-c2ccc(C[C@H](NS(=O)(=O)c3c(C)cc(C)cc3C)C(=O)O)cc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),495.601
MW Monoisotopic(RDKit),495.182792028
MolLogP(RDKit),4.00436
XLogP(SDF),
XLogP(CDK),3.947
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),124.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.375931813460883
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,34070942.9383689
qed,0.3759318134608826
Chi0,25.750347897697548
Chi1,16.49523948319526
TPSA,124.60000000000001
Chi0n,20.046414790091706
Chi0v,20.862911371019432
Chi1n,11.010023610728892
Chi1v,12.493186858323284
Chi2n,8.425929371514759
Chi2v,10.07675349776069
Chi3n,5.543498575807212
Chi3v,7.31972562202391
Chi4n,4.055340208137392
Chi4v,5.697518357246183
MolMR,136.05869999999996
MolWt,495.6010000000003
fr_SH,0
Kappa1,25.924218605079997
Kappa2,10.70896670174961
Kappa3,6.462537003951752
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1328.6502725446924
MolLogP,4.004360000000003
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,1
BalabanJ,1.7918845629476372
SMR_VSA1,23.113398747313283
SMR_VSA2,0.0
SMR_VSA3,10.038883468458419
SMR_VSA4,0.0
SMR_VSA5,38.12935752666362
SMR_VSA6,12.36446058668352
SMR_VSA7,82.9174766514041
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,204.99276884232063
NHOHCount,4
PEOE_VSA1,15.740104602853368
PEOE_VSA2,4.794537184071822
PEOE_VSA3,13.212334168400758
PEOE_VSA4,4.722094864452088
PEOE_VSA5,0.0
PEOE_VSA6,54.09438803938988
PEOE_VSA7,67.14202481740608
PEOE_VSA8,12.735058257360752
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,27.711097228381064
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,495.18279202799994
NumHDonors,4
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,12.000419800289922
SlogP_VSA1,15.355672072464749
SlogP_VSA2,38.61425699128471
SlogP_VSA3,21.238649960405414
SlogP_VSA4,20.771211599071872
SlogP_VSA5,22.253805966787983
SlogP_VSA6,65.55915416013387
SlogP_VSA7,0.0
SlogP_VSA8,11.126902983393991
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
