DLiP-ID,C005GH
DLiP-Mol-ID,36575
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H19N3O3S/c1-16(27)25-18-9-11-19(12-10-18)30(28,29)26-22-14-13-20(17-6-3-2-4-7-17)21-8-5-15-24-23(21)22/h2-15,26H,1H3,(H,25,27)"
Standard Inchi Key(RDKit),JQWIUJNICDEZPA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(-c3ccccc3)c3cccnc23)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),417.49
MW Monoisotopic(RDKit),417.114712468
MolLogP(RDKit),4.661
XLogP(SDF),
XLogP(CDK),4.012
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),88.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.494265659234048
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclin-dependent kinases regulatory subunit 1/S-phase kinase-associated protein 2
Common Target Pref Name,Cyclin-dependent kinases regulatory subunit 1/S-phase kinase-associated protein 2
RDKit Descriptors
Ipc,6854057.923257476
qed,0.49426565923404786
Chi0,21.13961743368831
Chi1,14.437490172930895
TPSA,88.16
Chi0n,16.163110526010176
Chi0v,16.9796071069379
Chi1n,9.275587667879584
Chi1v,10.758750915473978
Chi2n,6.737340811569768
Chi2v,8.419743052979282
Chi3n,4.583771403755899
Chi3v,5.9651813126834305
Chi4n,3.2488160971669613
Chi4v,4.315285920678705
MolMR,118.7332
MolWt,417.49000000000007
fr_SH,0
Kappa1,19.599703497162444
Kappa2,7.962119424718181
Kappa3,4.0142909596809
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1319.1756746618494
MolLogP,4.661000000000002
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.710520267045786
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,11.819220675208399
SMR_VSA6,10.038883468458419
SMR_VSA7,85.05961546161402
SMR_VSA8,0.0
SMR_VSA9,11.126902983393991
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
