DLiP-ID,C004OY
DLiP-Mol-ID,35584
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H29Cl2NO4/c1-3-19(14-30)29-23(15-7-9-17(27)10-8-15)21(16-5-4-6-18(28)11-16)13-26(2,25(29)33)22-12-20(22)24(31)32/h4-11,19-23,30H,3,12-14H2,1-2H3,(H,31,32)/t19-,20?,21+,22?,23+,26+/m0/s1"
Standard Inchi Key(RDKit),SJUVNAFJCJXJBJ-SGKAMIJQSA-N
Canonical SMILES(RDKit),CC[C@@H](CO)N1C(=O)[C@@](C)(C2CC2C(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),490.427
MW Monoisotopic(RDKit),489.147363768
MolLogP(RDKit),5.54850000000001
XLogP(SDF),
XLogP(CDK),4.595
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),77.84
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.533810566734764
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,35472973.8609511
qed,0.5338105667347642
Chi0,23.91348460451408
Chi1,15.705763010801014
TPSA,77.84
Chi0n,18.748046937657385
