DLiP-ID,C002ZP
DLiP-Mol-ID,27747
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H25N5O4/c1-35-15-8-14-28-27(34)22-23-25(30-20-12-6-5-11-19(20)29-23)32(17-18-9-3-2-4-10-18)24(22)31-26(33)21-13-7-16-36-21/h2-7,9-13,16H,8,14-15,17H2,1H3,(H,28,34)(H,31,33)"
Standard Inchi Key(RDKit),DHDVVMIYKAPBOC-UHFFFAOYSA-N
Canonical SMILES(RDKit),COCCCNC(=O)c1c(NC(=O)c2ccco2)n(Cc2ccccc2)c2nc3ccccc3nc12
SMILES(SDF),
MW(SDF),
MW(RDKit),483.528
MW Monoisotopic(RDKit),483.19065428
MolLogP(RDKit),4.2444
XLogP(SDF),
XLogP(CDK),4.029
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),111.28
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.303418889361549
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,274424827.9083895
qed,0.303418889361549
Chi0,24.907202147189924
Chi1,17.65219834319041
TPSA,111.28
Chi0n,19.731264303377028
Chi0v,19.731264303377028
Chi1n,11.60334912782731
Chi1v,11.60334912782731
Chi2n,8.213564209812589
Chi2v,8.213564209812589
Chi3n,5.749607222632898
Chi3v,5.749607222632898
Chi4n,4.048351715978494
Chi4v,4.048351715978494
MolMR,136.0653999999999
MolWt,483.52800000000025
