DLiP-ID,T005LV
DLiP-Mol-ID,22672
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H36N4O6/c1-20(2,3)30-19(29)23-15(8-4-5-10-21)18(28)24-12-6-7-14(13-24)17(27)22-11-9-16(25)26/h14-15H,4-13,21H2,1-3H3,(H,22,27)(H,23,29)(H,25,26)/t14-,15-/m0/s1"
Standard Inchi Key(RDKit),RMPDPJUTEPDOAS-GJZGRUSLSA-N
Canonical SMILES(RDKit),CC(C)(C)OC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H](C(=O)NCCC(=O)O)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),428.53
MW Monoisotopic(RDKit),428.263484872
MolLogP(RDKit),0.838200000000002
XLogP(SDF),
XLogP(CDK),0.142
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),151.06
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.376331436948141
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1790386.747186191
qed,0.37633143694814075
Chi0,22.733840039752497
Chi1,14.029894422366583
TPSA,151.05999999999997
Chi0n,18.238787262753586
Chi0v,18.238787262753586
Chi1n,10.51053934575166
Chi1v,10.51053934575166
Chi2n,8.541443636530474
Chi2v,8.541443636530474
Chi3n,4.677935914728352
Chi3v,4.677935914728352
Chi4n,3.248675179791624
Chi4v,3.248675179791624
