DLiP-ID,I001IS
DLiP-Mol-ID,30027
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H27FN4O4/c1-16-15-30(26(34)18-7-5-4-6-8-18)13-14-31(16)25(33)17(2)35-21-10-9-20(27)22-19(21)11-12-29-23(22)24(32)28-3/h4-12,16-17H,13-15H2,1-3H3,(H,28,32)/t16-,17+/m1/s1"
Standard Inchi Key(RDKit),ZNARIMRWAILYDS-SJORKVTESA-N
Canonical SMILES(RDKit),CNC(=O)c1nccc2c(O[C@@H](C)C(=O)N3CCN(C(=O)c4ccccc4)C[C@H]3C)ccc(F)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),478.524
MW Monoisotopic(RDKit),478.201633564
MolLogP(RDKit),2.8739
XLogP(SDF),
XLogP(CDK),3.055
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.84
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.609016895281352
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,73128117.30477081
qed,0.6090168952813515
Chi0,25.112155217263343
Chi1,16.811769505687856
TPSA,91.83999999999997
Chi0n,19.824771726010084
Chi0v,19.824771726010084
Chi1n,11.422082185034622
Chi1v,11.422082185034622
Chi2n,8.464691638161726
Chi2v,8.464691638161726
Chi3n,6.148471552289492
Chi3v,6.148471552289492
Chi4n,4.331338471586107
Chi4v,4.331338471586107
MolMR,128.70170000000002
MolWt,478.52400000000017
