DLiP-ID,T007UP
DLiP-Mol-ID,26157
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H19N3O4/c22-17(21-8-10-24-11-9-21)13-25-16-5-3-15(4-6-16)20-18(23)14-2-1-7-19-12-14/h1-7,12H,8-11,13H2,(H,20,23)"
Standard Inchi Key(RDKit),YWRTYBHTZODBDT-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccc(OCC(=O)N2CCOCC2)cc1)c1cccnc1
SMILES(SDF),
MW(SDF),
MW(RDKit),341.367
MW Monoisotopic(RDKit),341.137556088
MolLogP(RDKit),1.5715
XLogP(SDF),
XLogP(CDK),0.57
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),80.76
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.892803894742271
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,677027.2125871805
qed,0.8928038947422706
Chi0,17.484916895309066
Chi1,12.220346690612276
TPSA,80.76
Chi0n,13.681756412305116
Chi0v,13.681756412305116
Chi1n,8.019795480253697
Chi1v,8.019795480253697
Chi2n,5.502036212534571
Chi2v,5.502036212534571
Chi3n,3.762011379217636
Chi3v,3.762011379217636
Chi4n,2.3839413294827176
Chi4v,2.3839413294827176
MolMR,91.52620000000003
MolWt,341.36699999999996
fr_SH,0
Kappa1,16.911386835826608
Kappa2,8.252040689172977
Kappa3,4.772294505952243
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,712.8608536376299
MolLogP,1.5714999999999995
NOCount,7
