DLiP-ID,T001O3
DLiP-Mol-ID,17481
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H25ClN2O5S/c1-16(29)26-8-10-27(11-9-26)24(30)7-3-17-2-6-23(20(25)12-17)33-19-4-5-21-22(13-19)31-15-18(14-28)32-21/h2-7,12-13,18,28H,8-11,14-15H2,1H3/b7-3+"
Standard Inchi Key(RDKit),FVEAFWBHBUVJQZ-XVNBXDOJSA-N
Canonical SMILES(RDKit),CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4c(c3)OCC(CO)O4)c(Cl)c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),488.993
MW Monoisotopic(RDKit),488.11727058
MolLogP(RDKit),3.3272
XLogP(SDF),
XLogP(CDK),2.77
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),79.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.65029943203009
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,29838286.047353707
qed,0.6502994320300897
Chi0,23.37166824125719
Chi1,15.92305529101951
TPSA,79.31000000000002
Chi0n,18.199639821654337
Chi0v,19.772065348600517
Chi1n,10.669704855346536
Chi1v,11.864165909283487
Chi2n,7.798586115620952
Chi2v,9.321141314011964
Chi3n,5.47595084657842
Chi3v,6.9662586873192565
Chi4n,3.5934698444454773
Chi4v,4.746669634401788
MolMR,126.88180000000006
MolWt,488.9930000000004
fr_SH,0
Kappa1,23.477245611329764
Kappa2,10.501733475575728
Kappa3,5.819974256294123
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1068.8152588736048
MolLogP,3.327200000000002
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.3641835553022867
SMR_VSA1,24.169327670584448
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,0.0
SMR_VSA5,22.81867053847448
SMR_VSA6,39.392789552676135
SMR_VSA7,53.06030732304186
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,201.45694936302857
NHOHCount,1
PEOE_VSA1,24.380072764141758
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.429191908085244
PEOE_VSA7,41.97130694083893
PEOE_VSA8,48.96974988121035
PEOE_VSA9,11.629515278254244
RingCount,4
SMR_VSA10,41.253204405160524
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,488.11727057999997
NumHDonors,1
PEOE_VSA10,6.606881964512918
PEOE_VSA11,17.602990054316113
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
