DLiP-ID,I001HB
DLiP-Mol-ID,29954
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H23FN4O2/c25-21-12-18(28-17-5-7-26-19(11-17)15-30)13-23-24(21)29(9-10-31-23)8-6-16-14-27-22-4-2-1-3-20(16)22/h1-5,7,11-14,27,30H,6,8-10,15H2,(H,26,28)"
Standard Inchi Key(RDKit),YYUHVSFHPFDNGR-UHFFFAOYSA-N
Canonical SMILES(RDKit),OCc1cc(Nc2cc(F)c3c(c2)OCCN3CCc2c[nH]c3ccccc23)ccn1
SMILES(SDF),
MW(SDF),
MW(RDKit),418.472
MW Monoisotopic(RDKit),418.180504196
MolLogP(RDKit),4.3794
XLogP(SDF),
XLogP(CDK),3.431
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),73.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.43343585746497
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,22585423.47183386
qed,0.43343585746497004
Chi0,21.20853153444066
Chi1,15.20784123585624
TPSA,73.41
Chi0n,16.93689014780196
Chi0v,16.93689014780196
Chi1n,10.301743894691814
Chi1v,10.301743894691814
Chi2n,7.568787365306193
Chi2v,7.568787365306193
Chi3n,5.556650099669602
Chi3v,5.556650099669602
Chi4n,4.067058198393683
Chi4v,4.067058198393683
MolMR,119.55320000000002
MolWt,418.4720000000001
fr_SH,0
Kappa1,19.387451107984027
Kappa2,8.27541240316661
Kappa3,3.9171631212021674
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1223.411457282289
MolLogP,4.379400000000003
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3601921499804555
