DLiP-ID,I0015V
DLiP-Mol-ID,29469
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H15Cl2N3O/c23-17-8-16(9-18(24)10-17)20-19(13-26)22(6-1-7-27(22)21(20)28)11-14-2-4-15(12-25)5-3-14/h2-5,8-10H,1,6-7,11H2/t22-/m1/s1"
Standard Inchi Key(RDKit),TZCXQSNBTXDAJG-JOCHJYFZSA-N
Canonical SMILES(RDKit),N#CC1=C(c2cc(Cl)cc(Cl)c2)C(=O)N2CCC[C@@]12Cc1ccc(C#N)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),408.288
MW Monoisotopic(RDKit),407.05921746
MolLogP(RDKit),4.75976
XLogP(SDF),
XLogP(CDK),4.256
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),67.89
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.735584170420707
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LFA_ICAM
Common Target Pref Name,LFA/ICAM
RDKit Descriptors
Ipc,2954129.2089859643
qed,0.7355841704207071
Chi0,19.88854057813175
Chi1,13.479530820145563
TPSA,67.89
Chi0n,14.875697032055765
Chi0v,16.387554924092672
Chi1n,8.90682175965253
Chi1v,9.662750705670986
Chi2n,7.097359008192974
Chi2v,7.970230569136942
Chi3n,5.505769606173082
Chi3v,5.942205386645066
Chi4n,4.342011520740866
Chi4v,4.86805400096681
MolMR,107.53400000000002
MolWt,408.28800000000024
fr_SH,0
Kappa1,18.567620550082616
Kappa2,6.985162884597599
Kappa3,2.8655017425711065
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1071.9954432584607
MolLogP,4.759760000000004
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.844911668773211
SMR_VSA1,4.794537184071822
SMR_VSA2,10.523783109476973
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,24.801390121161372
SMR_VSA6,6.544756405912575
SMR_VSA7,74.77329511187418
SMR_VSA8,0.0
SMR_VSA9,12.138442625584547
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,172.74970071723232
NHOHCount,0
PEOE_VSA1,4.899909730850478
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,10.523783109476973
PEOE_VSA5,0.0
PEOE_VSA6,35.33461391738825
PEOE_VSA7,54.300381571554055
PEOE_VSA8,23.010844656321236
PEOE_VSA9,34.38702842980342
RingCount,4
SMR_VSA10,34.682164039885805
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,407.05921746
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,22.890771118497902
SlogP_VSA3,11.21535880699783
SlogP_VSA4,22.66222573506152
SlogP_VSA5,29.531997720943004
SlogP_VSA6,48.03767400930054
SlogP_VSA7,10.045266627482652
SlogP_VSA8,5.573104530069267
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,2
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.538925252383345
EState_VSA2,5.907179729351506
EState_VSA3,45.28395669985376
