DLiP-ID,T003RZ
DLiP-Mol-ID,20739
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C30H35N3O3/c34-28(12-11-27-10-9-23-6-3-15-31-30(23)32-27)33-16-13-21(14-17-33)18-26(20-29(35)36)25-8-7-22-4-1-2-5-24(22)19-25/h1-2,4-5,7-10,19,21,26H,3,6,11-18,20H2,(H,31,32)(H,35,36)"
Standard Inchi Key(RDKit),MDGSJXNNVZDXCV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(CC1CCN(C(=O)CCc2ccc3c(n2)NCCC3)CC1)c1ccc2ccccc2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),485.628
MW Monoisotopic(RDKit),485.26784198
MolLogP(RDKit),5.41270000000001
XLogP(SDF),
XLogP(CDK),4.816
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),82.53
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.445646175479208
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,195402733.67398456
qed,0.44564617547920843
Chi0,24.90720214718992
Chi1,17.546846531107196
TPSA,82.53
Chi0n,20.787164921565513
Chi0v,20.787164921565513
Chi1n,13.258882296803124
Chi1v,13.258882296803124
Chi2n,10.301888262108562
Chi2v,10.301888262108562
Chi3n,7.797854938772074
Chi3v,7.797854938772074
Chi4n,5.731394048656617
Chi4v,5.731394048656617
MolMR,142.23149999999984
