DLiP-ID,C000BG
DLiP-Mol-ID,30570
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H12ClNO2/c1-9-11(15)6-4-8-12(9)16-13-7-3-2-5-10(13)14(17)18/h2-8,16H,1H3,(H,17,18)"
Standard Inchi Key(RDKit),YEZNLOUZAIOMLT-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1c(Cl)cccc1Nc1ccccc1C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),261.708
MW Monoisotopic(RDKit),261.055656304
MolLogP(RDKit),4.09022
XLogP(SDF),
XLogP(CDK),4.126
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),49.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.874854523216611
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,12394.310314522927
qed,0.8748545232166112
Chi0,13.120955864630139
Chi1,8.592224152875016
TPSA,49.33
Chi0n,9.77487824330043
Chi0v,10.530807189318885
Chi1n,5.4380803845324435
Chi1v,5.81604485754167
Chi2n,3.8881325347169247
Chi2v,4.29533266145753
Chi3n,2.69450457321904
Chi3v,3.103966085645703
Chi4n,1.6665860690860057
Chi4v,1.841125397516488
MolMR,72.87300000000003
MolWt,261.70799999999997
fr_SH,0
Kappa1,12.456747404844291
Kappa2,5.104166666666667
Kappa3,2.4620187304890737
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,596.0979048590729
MolLogP,4.090220000000002
NOCount,3
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.402484300749035
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,5.316788604006331
SMR_VSA7,58.614105776366586
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,110.02726581708374
NHOHCount,2
PEOE_VSA1,10.423315998847038
