DLiP-ID,C004ZR
DLiP-Mol-ID,35973
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H22N2O6S2/c1-31-17-7-5-9-19(15-17)33(27,28)25-23-13-14-24(22-12-4-3-11-21(22)23)26-34(29,30)20-10-6-8-18(16-20)32-2/h3-16,25-26H,1-2H3"
Standard Inchi Key(RDKit),GRIQSZFMJIFQQJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cccc(OC)c3)c3ccccc23)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),498.582
MW Monoisotopic(RDKit),498.091928424
MolLogP(RDKit),4.4586
XLogP(SDF),
XLogP(CDK),4.504
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),110.8
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.371150158523211
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,39518156.984525844
qed,0.3711501585232111
Chi0,24.346724214874857
Chi1,16.230643260171078
TPSA,110.8
Chi0n,18.348890092365668
Chi0v,19.98188325422112
Chi1n,10.088676400790407
Chi1v,13.055002895979193
Chi2n,7.275231084557979
Chi2v,10.640035567377007
Chi3n,5.115724285100123
Chi3v,7.842080836374789
Chi4n,3.4211275200576283
Chi4v,5.649904560219459
MolMR,131.55299999999997
MolWt,498.5820000000002
fr_SH,0
Kappa1,23.399926494545742
Kappa2,9.238628240496574
Kappa3,4.7757133480361285
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1449.7108176463444
MolLogP,4.458600000000003
NOCount,8
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7149503012101337
SMR_VSA1,26.309319876257973
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,9.79096695103555
SMR_VSA6,23.663784811459244
SMR_VSA7,84.92913895846256
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,197.80550690321343
NHOHCount,2
PEOE_VSA1,9.473725907600098
PEOE_VSA2,9.444189728904176
PEOE_VSA3,16.835593968657875
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,36.39820241076966
PEOE_VSA8,22.90518256585281
PEOE_VSA9,35.38533458295774
RingCount,4
SMR_VSA10,42.19380328511188
fr_Al_COO,0
