DLiP-ID,T002TR
DLiP-Mol-ID,19266
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H20F2N4O4S/c25-17-8-7-16(15-30-23(31)18-4-3-9-27-22(18)24(30)32)21(14-17)35(33,34)29-12-10-28(11-13-29)20-6-2-1-5-19(20)26/h1-9,14H,10-13,15H2"
Standard Inchi Key(RDKit),JIDJFNYSBOLMFH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2cccnc2C(=O)N1Cc1ccc(F)cc1S(=O)(=O)N1CCN(c2ccccc2F)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),498.511
MW Monoisotopic(RDKit),498.11733256
MolLogP(RDKit),2.6669
XLogP(SDF),
XLogP(CDK),3.022
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),90.89
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.502735768513217
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,97342571.33221954
qed,0.5027357685132169
Chi0,24.741911729260263
Chi1,16.76889407910888
TPSA,90.88999999999999
Chi0n,18.3950613781666
Chi0v,19.211557959094325
Chi1n,10.864288671461642
