DLiP-ID,C004RT
DLiP-Mol-ID,35687
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1"
Standard Inchi Key(RDKit),YBJHBAHKTGYVGT-ZKWXMUAHSA-N
Canonical SMILES(RDKit),O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
SMILES(SDF),
MW(SDF),
MW(RDKit),244.316
MW Monoisotopic(RDKit),244.088163372
MolLogP(RDKit),0.7968
XLogP(SDF),
XLogP(CDK),0.463
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),78.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.493478115192196
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Ras and Rab interactor 1/Tyrosine-protein kinase ABL1
Common Target Pref Name,Ras and Rab interactor 1/Tyrosine-protein kinase ABL1
RDKit Descriptors
Ipc,5794.178597307568
qed,0.49347811519219625
Chi0,11.543605595440512
Chi1,7.664703797946448
TPSA,78.43
Chi0n,8.939543180393164
Chi0v,9.75603976132089
Chi1n,5.5702993905814635
Chi1v,6.61905418056212
Chi2n,4.26138125807225
Chi2v,5.53354678504816
Chi3n,3.0674294445664945
Chi3v,4.576068504965449
Chi4n,2.264757116766507
Chi4v,3.808346038947311
MolMR,61.59320000000003
MolWt,244.31600000000003
fr_SH,0
Kappa1,11.571752540962677
Kappa2,4.9476486864612665
Kappa3,2.6071993441328214
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,297.78872926636205
MolLogP,0.7968000000000001
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,1
BalabanJ,1.703040654393498
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,0.0
