DLiP-ID,I000YJ
DLiP-Mol-ID,29155
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H18N2O3S/c1-3-5-7-14(4-2)12(17)13-10-9(11(15)16)6-8-18-10/h6,8H,3-5,7H2,1-2H3,(H,13,17)(H,15,16)"
Standard Inchi Key(RDKit),QCLBVGLQKICMSD-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCCN(CC)C(=O)Nc1sccc1C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),270.354
MW Monoisotopic(RDKit),270.103813436
MolLogP(RDKit),3.1002
XLogP(SDF),
XLogP(CDK),2.222
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),69.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.834113860829028
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,VEGF_VEGFR
Common Target Pref Name,VEGF/VEGFR
RDKit Descriptors
Ipc,11528.197668587909
qed,0.834113860829028
Chi0,13.543605595440512
Chi1,8.595754112725151
TPSA,69.64
Chi0n,10.602299725516948
Chi0v,11.418796306444674
Chi1n,5.963965853926186
Chi1v,6.843618665181081
Chi2n,3.831927487122997
Chi2v,4.748043564958285
Chi3n,2.5666163048680506
Chi3v,3.3964593676691646
Chi4n,1.5028998567992158
Chi4v,2.2716610854556736
MolMR,72.45200000000003
MolWt,270.354
fr_SH,0
Kappa1,14.500827250608275
Kappa2,7.003773947427045
Kappa3,3.7311510318799055
