DLiP-ID,C001YA
DLiP-Mol-ID,27015
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H8BrN3O2/c13-7-1-2-9-8(4-7)6(5-14-9)3-10-11(17)16-12(18)15-10/h1-5,14H,(H2,15,16,17,18)/b10-3-"
Standard Inchi Key(RDKit),PDVPLITVGXYXQU-KMKOMSMNSA-N
Canonical SMILES(RDKit),O=C1NC(=O)/C(=C/c2c[nH]c3ccc(Br)cc23)N1
SMILES(SDF),
MW(SDF),
MW(RDKit),306.119
MW Monoisotopic(RDKit),304.979988596
MolLogP(RDKit),2.1107
XLogP(SDF),
XLogP(CDK),2.376
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),73.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.557471101765094
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,20297.969538762376
qed,0.5574711017650938
Chi0,12.698306133819765
Chi1,8.631030293135236
TPSA,73.99
Chi0n,9.081212399885082
Chi0v,10.667208938999787
Chi1n,5.239964937060314
Chi1v,6.032963206617667
Chi2n,3.9001836549354008
Chi2v,4.81585918372709
Chi3n,2.695519611004797
Chi3v,3.1887712497218366
Chi4n,1.8717540582954102
Chi4v,2.232839318752891
MolMR,70.65010000000001
MolWt,306.11899999999997
fr_SH,0
Kappa1,11.035822305484693
Kappa2,3.9893044605225096
Kappa3,1.8009083288277337
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,702.4104770235978
MolLogP,2.1107
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,2.1007140446879182
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,15.617555728959871
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,40.12915509758315
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,110.37687851706438
NHOHCount,3
PEOE_VSA1,10.30076712495354
PEOE_VSA2,10.111325788078153
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,15.929943897949348
PEOE_VSA7,24.27512131221871
PEOE_VSA8,27.135939511223544
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,44.84718317855387
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,304.97998859600006
NumHDonors,3
PEOE_VSA10,5.697039313055833
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,6.031114512338072
SlogP_VSA1,10.633577208012662
SlogP_VSA2,16.922272762636787
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,34.56570360588615
SlogP_VSA7,0.0
SlogP_VSA8,16.97894503891494
