DLiP-ID,C001FB
DLiP-Mol-ID,32290
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H9ClN2O2/c13-8-3-5-9(6-4-8)15-11-10(12(16)17)2-1-7-14-11/h1-7H,(H,14,15)(H,16,17)"
Standard Inchi Key(RDKit),YEXIXVLEDGNAKM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1cccnc1Nc1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),248.669
MW Monoisotopic(RDKit),248.035255208
MolLogP(RDKit),3.1768
XLogP(SDF),
XLogP(CDK),3.376
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),62.22
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.875791919921976
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,8209.798494249375
qed,0.8757919199219764
Chi0,12.25071237662706
Chi1,8.164703797946448
TPSA,62.22
Chi0n,8.722091838800388
Chi0v,9.478020784818844
Chi1n,4.875227873291062
Chi1v,5.25319234630029
Chi2n,3.336614921354188
Chi2v,3.7730507018261723
Chi3n,2.1450822182394282
Chi3v,2.397058533578912
Chi4n,1.3474304049022428
Chi4v,1.4734185625719853
MolMR,65.93100000000001
MolWt,248.669
fr_SH,0
Kappa1,11.41643449113727
Kappa2,4.842514199202411
Kappa3,2.7337531529874393
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,540.4568217496918
MolLogP,3.176800000000001
NOCount,4
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.2952416625976078
SMR_VSA1,9.901064578912528
