DLiP-ID,T002SP
DLiP-Mol-ID,19228
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H25N5O4/c33-25(34)13-23-27(36)32(15-17-6-2-1-3-7-17)16-19-12-18(10-11-20(19)29-23)26(35)28-14-24-30-21-8-4-5-9-22(21)31-24/h1-12,23,29H,13-16H2,(H,28,35)(H,30,31)(H,33,34)/t23-/m0/s1"
Standard Inchi Key(RDKit),JGGRRPJUGFVMKY-QHCPKHFHSA-N
Canonical SMILES(RDKit),O=C(O)C[C@@H]1Nc2ccc(C(=O)NCc3nc4ccccc4[nH]3)cc2CN(Cc2ccccc2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),483.528
MW Monoisotopic(RDKit),483.19065428
MolLogP(RDKit),3.2905
XLogP(SDF),
XLogP(CDK),3.301
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),127.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.319479795235586
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,188519782.7583499
qed,0.31947979523558595
Chi0,25.070338854006454
Chi1,17.457530133630158
