DLiP-ID,C002XC
DLiP-Mol-ID,33294
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H17N3O3S/c1-2-22-16-9-10-17(14-7-5-8-15(18(14)16)19(22)23)26(24,25)21-12-13-6-3-4-11-20-13/h3-11,21H,2,12H2,1H3"
Standard Inchi Key(RDKit),IIKQWKDJPZHRJE-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4ccccn4)ccc1c23
SMILES(SDF),
MW(SDF),
MW(RDKit),367.43
MW Monoisotopic(RDKit),367.099062404
MolLogP(RDKit),2.6934
XLogP(SDF),
XLogP(CDK),2.198
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),79.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.751911246415928
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,1174562.8156429962
qed,0.7519112464159279
Chi0,18.311190308942127
Chi1,12.526005232608501
TPSA,79.37
Chi0n,14.1377863379351
Chi0v,14.954282918862825
Chi1n,8.298542053390223
Chi1v,9.781705300984616
Chi2n,6.005995714961657
Chi2v,7.741370830570472
Chi3n,4.520188543288725
Chi3v,5.979591863790996
Chi4n,3.3169661152361165
Chi4v,4.517183510398881
MolMR,99.56100000000002
MolWt,367.43
fr_SH,0
Kappa1,16.685205273040665
Kappa2,6.190694685647015
Kappa3,2.562407397822459
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
