DLiP-ID,J000F6
DLiP-Mol-ID,27285
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H27N3O3/c1-15-22(30-2)12-18(13-23(15)31-3)25(29)27-20-9-8-16-6-7-17(11-19(16)20)21-14-28-10-4-5-24(28)26-21/h6-7,11-14,20H,4-5,8-10H2,1-3H3,(H,27,29)/t20-/m0/s1"
Standard Inchi Key(RDKit),GRFBFSARRYJWSN-FQEVSTJZSA-N
Canonical SMILES(RDKit),COc1cc(C(=O)N[C@H]2CCc3ccc(-c4cn5c(n4)CCC5)cc32)cc(OC)c1C
SMILES(SDF),
MW(SDF),
MW(RDKit),417.509
MW Monoisotopic(RDKit),417.205241724
MolLogP(RDKit),4.23922
XLogP(SDF),
XLogP(CDK),4.222
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),65.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.674438094366459
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,21509289.692178834
qed,0.674438094366459
Chi0,21.534804948073727
Chi1,15.067213243362945
TPSA,65.38
Chi0n,18.19615785265163
Chi0v,18.19615785265163
Chi1n,10.798230951164143
Chi1v,10.798230951164143
Chi2n,8.323401105279203
Chi2v,8.323401105279203
Chi3n,6.497701425507517
Chi3v,6.497701425507517
Chi4n,4.764320084891249
Chi4v,4.764320084891249
MolMR,118.79520000000004
MolWt,417.50900000000024
fr_SH,0
Kappa1,19.66979239849312
Kappa2,7.762069237357624
Kappa3,3.457538979862606
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1118.3091789799184
MolLogP,4.239220000000004
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.4034658984354758
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,0.0
SMR_VSA5,45.193620926455196
SMR_VSA6,14.219595082555067
SMR_VSA7,64.60688937870904
SMR_VSA8,0.0
SMR_VSA9,22.756403153113265
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
