DLiP-ID,P000I4
DLiP-Mol-ID,26283
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H10ClNO3/c1-3-14-9(13)6-5-11(2)8(12)4-7(6)10/h4-5H,3H2,1-2H3"
Standard Inchi Key(RDKit),WGSWOEOJYNQPRP-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)c1cn(C)c(=O)cc1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),215.636
MW Monoisotopic(RDKit),215.03492086
MolLogP(RDKit),1.2154
XLogP(SDF),
XLogP(CDK),2.499
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),48.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),14
QED Weighted(RDKit),0.697265134788584
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,1151.766604352248
qed,0.6972651347885837
Chi0,10.71517847069432
Chi1,6.557749310264366
TPSA,48.3
Chi0n,7.911730259466574
Chi0v,8.667659205485029
Chi1n,4.0921812747633055
Chi1v,4.470145747772533
Chi2n,2.704662758250581
Chi2v,3.111862884991187
Chi3n,1.6732211881637968
Chi3v,1.9859301966520957
Chi4n,0.9659615160200108
Chi4v,1.1852467386146477
MolMR,52.64950000000002
MolWt,215.636
fr_SH,0
Kappa1,10.788678206136902
Kappa2,4.28251324032558
Kappa3,2.142438103631875
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,411.00836068185725
MolLogP,1.2154
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,3.155603936879061
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.567099647791355
SMR_VSA4,7.04767198267719
SMR_VSA5,6.923737199690624
SMR_VSA6,6.606881964512918
SMR_VSA7,33.20309952463683
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,86.0606467011013
