DLiP-ID,C001NB
DLiP-Mol-ID,32635
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H29F2N3O.ClH/c1-2-26-23(29)28-16-14-27(15-17-28)13-3-4-22(18-5-9-20(24)10-6-18)19-7-11-21(25)12-8-19;/h5-12,22H,2-4,13-17H2,1H3,(H,26,29);1H"
Standard Inchi Key(RDKit),OEQHKNWFXHBJIT-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),437.962
MW Monoisotopic(RDKit),437.2045467
MolLogP(RDKit),4.6458
XLogP(SDF),
XLogP(CDK),4.677
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),35.58
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.684169133980094
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,3755651.3813349563
qed,0.6841691339800943
Chi0,20.639617433688315
Chi1,14.062881945713372
TPSA,35.580000000000005
Chi0n,17.319859390145112
Chi0v,18.136355971072838
Chi1n,10.325827387600473
Chi1v,10.325827387600473
Chi2n,7.462088426153054
Chi2v,7.462088426153054
Chi3n,5.499394814160477
Chi3v,5.499394814160477
Chi4n,3.872575004782331
Chi4v,3.872575004782331
MolMR,118.21070000000005
MolWt,437.96200000000005
fr_SH,0
Kappa1,24.09276917053419
Kappa2,11.864793590199923
Kappa3,6.673662535804007
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,732.5401546778015
MolLogP,4.645800000000006
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,3.203328227383455e-06
SMR_VSA1,13.575367279421462
SMR_VSA2,0.0
SMR_VSA3,15.116608065707286
SMR_VSA4,0.0
SMR_VSA5,25.683286491704038
SMR_VSA6,39.26853843547545
SMR_VSA7,71.29228121317867
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,183.21224511285487
NHOHCount,1
PEOE_VSA1,10.216698334856808
PEOE_VSA2,4.899909730850478
PEOE_VSA3,13.575367279421462
PEOE_VSA4,0.0
PEOE_VSA5,12.407033161179976
PEOE_VSA6,24.26546827384644
PEOE_VSA7,61.702508108695646
PEOE_VSA8,38.64168807572426
PEOE_VSA9,0.0
RingCount,3
