DLiP-ID,P000G9
DLiP-Mol-ID,25830
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H30N2O7/c27-11-3-6-22(29)28-20-13-15-4-1-2-5-18(15)19(20)12-16-7-9-21-25(24(16)26(32)33)34-14-17(35-21)8-10-23(30)31/h1-2,4-5,7,9,17,19-20H,3,6,8,10-14,27H2,(H,28,29)(H,30,31)(H,32,33)/t17-,19+,20-/m0/s1"
Standard Inchi Key(RDKit),UEGSVADLZPXOAG-SXLOBPIMSA-N
Canonical SMILES(RDKit),NCCCC(=O)N[C@H]1Cc2ccccc2[C@H]1Cc1ccc2c(c1C(=O)O)OC[C@H](CCC(=O)O)O2
SMILES(SDF),
MW(SDF),
MW(RDKit),482.533
MW Monoisotopic(RDKit),482.2053013
MolLogP(RDKit),2.4955
XLogP(SDF),
XLogP(CDK),1.513
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),148.18
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.403679915929551
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,INTEGRASE/LEDGF
Common Target Pref Name,INTEGRASE/LEDGF
RDKit Descriptors
Ipc,77096916.97591709
qed,0.40367991592955144
Chi0,24.949018510446816
Chi1,16.867412398353686
TPSA,148.17999999999998
Chi0n,19.36602558470787
Chi0v,19.36602558470787
Chi1n,11.8463842055779
Chi1v,11.8463842055779
Chi2n,8.995167315447128
Chi2v,8.995167315447128
