DLiP-ID,T000MV
DLiP-Mol-ID,16241
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H38N6O3/c1-15(25-5)21(31)28-20(24(2,3)4)22(32)30-14-12-16-10-11-17(19(16)30)27-23(33)29(6)18-9-7-8-13-26-18/h7-9,13,15-17,19-20,25H,10-12,14H2,1-6H3,(H,27,33)(H,28,31)/t15-,16+,17-,19-,20+/m0/s1"
Standard Inchi Key(RDKit),BVJVFSVEQPIZHI-SQIBXOBRSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)N(C)c3ccccn3)[C@H]21)C(C)(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),458.607
MW Monoisotopic(RDKit),458.300539076
MolLogP(RDKit),1.7457
XLogP(SDF),
XLogP(CDK),1.696
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),106.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.60214289542827
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,19197444.151934374
qed,0.6021428954282703
Chi0,24.336134335324452
Chi1,15.539931123498654
TPSA,106.66999999999999
Chi0n,20.59096520534429
Chi0v,20.59096520534429
Chi1n,11.776126517118405
Chi1v,11.776126517118405
Chi2n,10.269255517145167
Chi2v,10.269255517145167
Chi3n,6.959761932779228
Chi3v,6.959761932779228
Chi4n,4.843585602277761
Chi4v,4.843585602277761
MolMR,127.70910000000005
MolWt,458.6070000000002
fr_SH,0
Kappa1,24.952520708754044
Kappa2,10.071556949256612
Kappa3,5.4581258307929845
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,855.5055691231581
MolLogP,1.7457000000000011
NOCount,9
fr_Ar_N,1
fr_COO2,0
fr_urea,1
BalabanJ,1.7416547910967937
SMR_VSA1,14.383611552215466
SMR_VSA2,0.0
SMR_VSA3,25.83425406381668
SMR_VSA4,11.332896515558172
SMR_VSA5,71.12477698413235
SMR_VSA6,25.54001010211743
SMR_VSA7,24.395944776997908
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,4
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,196.22710915828273
NHOHCount,3
PEOE_VSA1,20.850275542869472
PEOE_VSA2,14.488984098994122
PEOE_VSA3,9.77851570501903
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,26.83757866753348
PEOE_VSA7,56.699504703627234
PEOE_VSA8,19.78927196020284
PEOE_VSA9,18.12552248744388
RingCount,3
SMR_VSA10,23.663336748876112
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,458.300539076
NumHDonors,3
PEOE_VSA10,11.85970360698299
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,20.850275542869472
