DLiP-ID,J000DI
DLiP-Mol-ID,27235
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H14N2O/c1-16-11-6-4-10(5-7-11)12-9-15-8-2-3-13(15)14-12/h4-7,9H,2-3,8H2,1H3"
Standard Inchi Key(RDKit),WOYRQBRHXBCHHZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(-c2cn3c(n2)CCC3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),214.268
MW Monoisotopic(RDKit),214.110613068
MolLogP(RDKit),2.5049
XLogP(SDF),
XLogP(CDK),2.659
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),27.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.767640042529513
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
Common Target Pref Name,WDR5/Mixed-lineage leukemia 1 (MLL1)
RDKit Descriptors
Ipc,10660.740965073324
qed,0.7676400425295127
Chi0,10.957819157813608
Chi1,7.864504642955708
TPSA,27.05
Chi0n,9.310747170971553
Chi0v,9.310747170971553
Chi1n,5.571215214943736
Chi1v,5.571215214943736
Chi2n,4.067820263093954
Chi2v,4.067820263093954
Chi3n,3.0443509929391075
Chi3v,3.0443509929391075
Chi4n,2.1557462382117376
Chi4v,2.1557462382117376
MolMR,62.53600000000003
MolWt,214.26799999999997
fr_SH,0
Kappa1,9.455566401645477
Kappa2,3.6670289506069773
Kappa3,1.484791109779626
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,477.65118777149115
MolLogP,2.504900000000001
NOCount,3
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9519723465629533
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,19.386399651764595
SMR_VSA6,7.109797541277533
SMR_VSA7,36.286716343459446
SMR_VSA8,0.0
SMR_VSA9,17.00689131982936
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
