DLiP-ID,C001UU
DLiP-Mol-ID,32960
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H13N5O2/c1-3-19-12-10(13(20)18(2)14(21)16-12)15-11(17-19)9-7-5-4-6-8-9/h4-8H,3H2,1-2H3"
Standard Inchi Key(RDKit),HJXOIRIPJDWFBS-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCn1nc(-c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2
SMILES(SDF),
MW(SDF),
MW(RDKit),283.291
MW Monoisotopic(RDKit),283.106924656
MolLogP(RDKit),0.523699999999999
XLogP(SDF),
XLogP(CDK),3.518
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),82.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.684583982881454
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,76152.93292083549
qed,0.6845839828814541
Chi0,14.982763184195939
Chi1,10.113392202930193
TPSA,82.67
Chi0n,11.646422685562195
Chi0v,11.646422685562195
Chi1n,6.52833441769
Chi1v,6.52833441769
Chi2n,4.547959344665408
Chi2v,4.547959344665408
Chi3n,3.21664061653608
Chi3v,3.21664061653608
Chi4n,2.0576411346499675
Chi4v,2.0576411346499675
MolMR,77.06000000000002
MolWt,283.291
fr_SH,0
Kappa1,13.16690557873347
Kappa2,4.93218904936989
Kappa3,2.120202583759206
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,882.2229099916078
MolLogP,0.5236999999999996
NOCount,7
fr_Ar_N,5
fr_COO2,0
fr_urea,0
BalabanJ,2.390310440564242
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,24.315541433131994
SMR_VSA4,7.04767198267719
SMR_VSA5,13.4684936056032
SMR_VSA6,0.0
SMR_VSA7,51.169920003707176
SMR_VSA8,0.0
SMR_VSA9,22.90618848254531
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,119.42912340136587
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,9.361636831863176
PEOE_VSA3,14.460318640164214
PEOE_VSA4,10.082660329248245
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,6.923737199690624
PEOE_VSA8,19.15587988028676
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,283.10692465600005
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,17.342736990848316
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052007
PEOE_VSA14,5.689743398203474
SlogP_VSA1,11.24901029325548
SlogP_VSA2,24.315541433131994
