DLiP-ID,P0000N
DLiP-Mol-ID,22305
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H22N4O3/c1-15-24(17(3)33-29-15)20-12-23-25(28-13-20)21(18-7-9-19(10-8-18)26(31)32)14-30(23)16(2)22-6-4-5-11-27-22/h4-14,16H,1-3H3,(H,31,32)/t16-/m0/s1"
Standard Inchi Key(RDKit),AMSUHYUVOVCWTP-INIZCTEOSA-N
Canonical SMILES(RDKit),Cc1noc(C)c1-c1cnc2c(-c3ccc(C(=O)O)cc3)cn([C@@H](C)c3ccccn3)c2c1
SMILES(SDF),
MW(SDF),
MW(RDKit),438.487
MW Monoisotopic(RDKit),438.169190564
MolLogP(RDKit),5.67764000000001
XLogP(SDF),
XLogP(CDK),4.859
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),94.04
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.379485606249449
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,50261615.7451542
qed,0.3794856062494489
Chi0,23.112155217263346
Chi1,15.935560745775549
TPSA,94.04
Chi0n,18.48076778870303
Chi0v,18.48076778870303
Chi1n,10.622420305841882
Chi1v,10.622420305841882
Chi2n,8.054020083852944
Chi2v,8.054020083852944
Chi3n,5.9670139500297665
Chi3v,5.9670139500297665
Chi4n,4.2487446598929
Chi4v,4.2487446598929
MolMR,125.14930000000001
MolWt,438.4870000000001
fr_SH,0
Kappa1,20.63204741154928
Kappa2,8.017107383807947
Kappa3,3.571090013196216
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1447.7560313614788
