DLiP-ID,C000SI
DLiP-Mol-ID,31298
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H21FN2O4S/c22-14-5-8-16(9-6-14)29(27,28)23-15-7-10-20-18(13-15)17-3-1-2-4-19(17)24(20)12-11-21(25)26/h1-6,8-9,15,23H,7,10-13H2,(H,25,26)/t15-/m1/s1"
Standard Inchi Key(RDKit),LDXDSHIEDAPSSA-OAHLLOKOSA-N
Canonical SMILES(RDKit),O=C(O)CCn1c2c(c3ccccc31)C[C@H](NS(=O)(=O)c1ccc(F)cc1)CC2
SMILES(SDF),
MW(SDF),
MW(RDKit),416.474
MW Monoisotopic(RDKit),416.120606372
MolLogP(RDKit),3.0909
XLogP(SDF),
XLogP(CDK),3.379
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),88.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.646391756815296
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,4103818.7445390383
qed,0.6463917568152955
Chi0,20.595647359318296
Chi1,13.848173775453853
TPSA,88.4
Chi0n,15.63707115450397
Chi0v,16.453567735431694
Chi1n,9.43628552633842
Chi1v,10.919448773932814
Chi2n,7.252703705480318
Chi2v,8.966684062053414
Chi3n,5.369289364872428
Chi3v,6.905691884964569
Chi4n,4.0656394812846
Chi4v,5.33612665114435
MolMR,106.72530000000005
MolWt,416.4740000000002
fr_SH,0
Kappa1,19.599703497162444
Kappa2,7.606633616334716
Kappa3,3.9023382042537955
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1169.3592989129006
MolLogP,3.0909000000000013
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.621499755437318
SMR_VSA1,22.709276610916284
SMR_VSA2,0.0
SMR_VSA3,9.289194512243443
SMR_VSA4,0.0
SMR_VSA5,43.165367202282354
SMR_VSA6,0.0
SMR_VSA7,65.60553687528423
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,167.56998674334196
NHOHCount,2
PEOE_VSA1,9.67362704263206
PEOE_VSA2,4.794537184071822
PEOE_VSA3,17.530306896455848
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,55.157751702783074
PEOE_VSA8,29.183450161990056
PEOE_VSA9,11.316305098443785
RingCount,4
SMR_VSA10,26.895521373440488
