DLiP-ID,C100NH
DLiP-Mol-ID,26867
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H14N4O3S2/c1-10-2-5-12(6-3-10)24(21,22)19-11-4-7-13(20)14(8-11)23-15-16-9-17-18-15/h2-9,19-20H,1H3,(H,16,17,18)"
Standard Inchi Key(RDKit),ANDITESYZDMDFP-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(S(=O)(=O)Nc2ccc(O)c(Sc3nc[nH]n3)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),362.436
MW Monoisotopic(RDKit),362.050732308
MolLogP(RDKit),2.77072
XLogP(SDF),
XLogP(CDK),3.178
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),107.97
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.602440084193041
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,335373.29783670494
qed,0.6024400841930406
Chi0,17.156489770562874
Chi1,11.437490172930893
TPSA,107.97000000000001
Chi0n,12.593436101872335
Chi0v,14.226429263727788
Chi1n,6.900532206361455
Chi1v,9.200192034883573
Chi2n,4.984793264890462
Chi2v,7.676294428829469
Chi3n,3.1374703070508607
Chi3v,5.46084236377848
Chi4n,1.935428636003572
Chi4v,3.743892465136959
MolMR,90.60000000000001
MolWt,362.43600000000004
fr_SH,0
Kappa1,16.3417287103599
Kappa2,6.536922604852471
Kappa3,3.6865817613074148
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,939.3603291100858
MolLogP,2.77072
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.855425960328071
SMR_VSA1,13.524324379169643
SMR_VSA2,0.0
SMR_VSA3,15.181342137549283
SMR_VSA4,0.0
SMR_VSA5,21.871140632546883
SMR_VSA6,4.722094864452088
SMR_VSA7,54.3553410456928
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,142.75542545091804
NHOHCount,3
PEOE_VSA1,5.106527394840706
PEOE_VSA2,9.820776672753126
PEOE_VSA3,13.401775505276145
PEOE_VSA4,0.0
PEOE_VSA5,5.098681808301038
PEOE_VSA6,17.696185628620217
PEOE_VSA7,49.017457491389784
PEOE_VSA8,0.0
PEOE_VSA9,15.478353225719111
RingCount,3
SMR_VSA10,27.472562377482262
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,1
ExactMolWt,362.0507323080001
NumHDonors,3
PEOE_VSA10,12.076831908048447
PEOE_VSA11,0.0
PEOE_VSA12,5.156436481820707
PEOE_VSA13,10.023291153407584
PEOE_VSA14,0.0
SlogP_VSA1,4.722094864452088
SlogP_VSA2,28.705666516718928
SlogP_VSA3,10.023291153407584
SlogP_VSA4,6.923737199690624
SlogP_VSA5,5.563451491696996
SlogP_VSA6,63.73929298685207
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.023291153407584
EState_VSA2,10.644995308801679
EState_VSA3,15.739306232022043
EState_VSA4,17.325336441088112
EState_VSA5,24.52642128014937
EState_VSA6,24.26546827384644
EState_VSA7,6.923737199690624
EState_VSA8,19.903437002001372
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
SlogP_VSA11,5.749511833283905
SlogP_VSA12,11.761884949391115
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
VSA_EState8,24.831989480977576
VSA_EState9,39.49752733803194
