DLiP-ID,T005KI
DLiP-Mol-ID,22604
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H25NO4/c1-27-20-9-5-4-8-18(20)16-12-10-15(11-13-16)14-19(22(25)26)23-21(24)17-6-2-3-7-17/h4-5,8-13,17,19H,2-3,6-7,14H2,1H3,(H,23,24)(H,25,26)/t19-/m0/s1"
Standard Inchi Key(RDKit),RKHZYXCEMTUMGS-IBGZPJMESA-N
Canonical SMILES(RDKit),COc1ccccc1-c1ccc(C[C@H](NC(=O)C2CCCC2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),367.445
MW Monoisotopic(RDKit),367.17835828
MolLogP(RDKit),3.6643
XLogP(SDF),
XLogP(CDK),4.262
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),75.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.782965215978034
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1865587.5679281373
qed,0.7829652159780345
Chi0,19.225403871315223
Chi1,13.07971869811898
TPSA,75.63
Chi0n,15.480995064720547
Chi0v,15.480995064720547
Chi1n,9.337268663914484
Chi1v,9.337268663914484
Chi2n,6.982123471615089
Chi2v,6.982123471615089
Chi3n,5.1522889124722555
Chi3v,5.1522889124722555
