DLiP-ID,C0014L
DLiP-Mol-ID,31819
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H28N4O3/c1-4-31-24(29)21-16-25-22-10-9-19(30-3)15-20(22)23(21)26-17-5-7-18(8-6-17)28-13-11-27(2)12-14-28/h5-10,15-16H,4,11-14H2,1-3H3,(H,25,26)"
Standard Inchi Key(RDKit),WCDCWOPXWWVJBQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)c1cnc2ccc(OC)cc2c1Nc1ccc(N2CCN(C)CC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),420.513
MW Monoisotopic(RDKit),420.216140756
MolLogP(RDKit),3.9155
XLogP(SDF),
XLogP(CDK),4.012
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.93
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.60650607359866
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,13134140.334570989
qed,0.6065060735986596
Chi0,21.794317972067564
Chi1,15.08404999576855
TPSA,66.93
Chi0n,18.22072171734121
Chi0v,18.22072171734121
Chi1n,10.532015998108765
Chi1v,10.532015998108765
Chi2n,7.6126218322574655
Chi2v,7.6126218322574655
Chi3n,5.575542275501908
Chi3v,5.575542275501908
Chi4n,3.7615182320671314
Chi4v,3.7615182320671314
MolMR,123.68620000000004
MolWt,420.51300000000026
fr_SH,0
Kappa1,20.93278562067283
Kappa2,9.221691824658858
Kappa3,4.562664200130814
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1060.3575128767748
MolLogP,3.9155000000000033
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.6696931369379873
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,57.160075446974744
SMR_VSA7,54.22486454254134
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,182.12659979735528
NHOHCount,1
PEOE_VSA1,24.590333973307384
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,56.43597866159908
PEOE_VSA8,49.13686595909529
PEOE_VSA9,24.920766498090273
RingCount,4
SMR_VSA10,33.934389044083595
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,420.2161407560001
NumHDonors,1
PEOE_VSA10,11.3129633249809
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,14.953561288656857
SlogP_VSA2,62.79657065186747
SlogP_VSA3,4.736862953800049
SlogP_VSA4,0.0
SlogP_VSA5,17.28172587545944
SlogP_VSA6,48.661413050844345
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
