DLiP-ID,T007YA
DLiP-Mol-ID,26306
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20N4O4/c1-25-18-9-6-15(3-2-14-4-7-16(8-5-14)21(23)24)12-17(18)22(30)26(13-19(25)27)11-10-20(28)29/h4-9,12H,10-11,13H2,1H3,(H3,23,24)(H,28,29)"
Standard Inchi Key(RDKit),ZGISQAAIGWPLSR-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1C(=O)CN(CCC(=O)O)C(=O)c2cc(C#Cc3ccc(C(=N)N)cc3)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),404.426
MW Monoisotopic(RDKit),404.14845512
MolLogP(RDKit),1.26377
XLogP(SDF),
XLogP(CDK),2.177
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),127.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.401592711218322
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4339979.4218389895
qed,0.4015927112183224
Chi0,21.836134335324452
Chi1,14.256927950821465
TPSA,127.79
Chi0n,16.306508154968114
Chi0v,16.306508154968114
Chi1n,9.14165174676921
Chi1v,9.14165174676921
Chi2n,6.796155541072803
Chi2v,6.796155541072803
Chi3n,4.718417389128252
Chi3v,4.718417389128252
Chi4n,3.01207241845128
Chi4v,3.01207241845128
MolMR,111.44640000000003
MolWt,404.4260000000001
fr_SH,0
Kappa1,20.610070871474175
Kappa2,8.489795841774502
Kappa3,4.470575870695159
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
