DLiP-ID,C001EC
DLiP-Mol-ID,32246
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H18N6O3S/c1-30-15-10-8-14(9-11-15)22-19(28)13-27-25-20(24-26-27)16-5-2-3-6-17(16)23-21(29)18-7-4-12-31-18/h2-12H,13H2,1H3,(H,22,28)(H,23,29)"
Standard Inchi Key(RDKit),CDDSVSURBAGEOA-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(NC(=O)Cn2nnc(-c3ccccc3NC(=O)c3cccs3)n2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),434.481
MW Monoisotopic(RDKit),434.116109436
MolLogP(RDKit),3.3012
XLogP(SDF),
XLogP(CDK),2.964
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),111.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.461705648262587
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,18758490.431070916
qed,0.46170564826258725
Chi0,21.631181265251033
Chi1,15.1185248383792
TPSA,111.02999999999999
Chi0n,16.47980728612772
Chi0v,17.296303867055446
Chi1n,9.281501159394198
Chi1v,10.161153970649094
Chi2n,6.397136054273298
Chi2v,7.344830247272169
Chi3n,4.272780836524045
Chi3v,5.141410503398643
