DLiP-ID,T005PX
DLiP-Mol-ID,22845
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H28N4O3/c20-16(18(25)26)13-22-17(24)14-1-5-19(6-2-14)7-11-23(12-8-19)15-3-9-21-10-4-15/h3-4,9-10,14,16H,1-2,5-8,11-13,20H2,(H,22,24)(H,25,26)/t16-/m0/s1"
Standard Inchi Key(RDKit),RVSMFPSUNDUYNU-INIZCTEOSA-N
Canonical SMILES(RDKit),N[C@@H](CNC(=O)C1CCC2(CC1)CCN(c1ccncc1)CC2)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),360.458
MW Monoisotopic(RDKit),360.216140756
MolLogP(RDKit),1.3865
XLogP(SDF),
XLogP(CDK),-0.804
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),108.55
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.732081910504605
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,827074.6440902543
qed,0.7320819105046052
Chi0,18.570703332935974
Chi1,12.489600962842504
TPSA,108.55
Chi0n,15.063550282433914
Chi0v,15.063550282433914
Chi1n,9.401527560229027
Chi1v,9.401527560229027
Chi2n,7.656616689684877
Chi2v,7.656616689684877
Chi3n,6.082428067132445
Chi3v,6.082428067132445
Chi4n,4.228681971708645
Chi4v,4.228681971708645
MolMR,98.69590000000007
MolWt,360.4580000000001
fr_SH,0
Kappa1,18.635441974791334
Kappa2,8.033672116781334
Kappa3,4.327572670561262
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,618.9312206069336
MolLogP,1.3864999999999994
NOCount,7
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.4507491093344282
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,17.066563992720358
SMR_VSA5,44.56677056670402
SMR_VSA6,24.534178948588202
SMR_VSA7,24.52642128014937
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,153.51544289804517
NHOHCount,4
PEOE_VSA1,21.056893206859698
PEOE_VSA2,14.573052889090853
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,56.07265434387605
PEOE_VSA8,43.63324868180883
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,17.563871291986917
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,360.21614075599996
NumHDonors,3
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,15.950365812018994
