DLiP-ID,P000EK
DLiP-Mol-ID,25470
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H22N4O/c1-12-10-19(26)23-17-5-3-4-15(21(17)22-12)14-8-9-18-16(11-14)20(13-6-7-13)24-25(18)2/h3-5,8-9,11-13,22H,6-7,10H2,1-2H3,(H,23,26)/t12-/m1/s1"
Standard Inchi Key(RDKit),RUOHSEWJRWMCPQ-GFCCVEGCSA-N
Canonical SMILES(RDKit),C[C@@H]1CC(=O)Nc2cccc(-c3ccc4c(c3)c(C3CC3)nn4C)c2N1
SMILES(SDF),
MW(SDF),
MW(RDKit),346.434
MW Monoisotopic(RDKit),346.179361324
MolLogP(RDKit),4.2603
XLogP(SDF),
XLogP(CDK),3.26
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),58.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.728771759095545
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,2071431.8171016772
qed,0.7287717590955455
Chi0,17.83613433532446
Chi1,12.59735678832402
TPSA,58.95
Chi0n,15.042797978540431
Chi0v,15.042797978540431
Chi1n,9.26360094416484
Chi1v,9.26360094416484
Chi2n,7.5408684608600565
Chi2v,7.5408684608600565
Chi3n,5.374798694185198
Chi3v,5.374798694185198
Chi4n,3.9479002752377754
Chi4v,3.9479002752377754
MolMR,104.45640000000006
