DLiP-ID,J100I3
DLiP-Mol-ID,37353
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H23N9S2.ClH/c1-13-5-7-15(8-6-13)12-29-18-21-17-20-14(2)11-16(28(17)23-18)30-19-22-24-25-27(19)10-9-26(3)4;/h5-8,11H,9-10,12H2,1-4H3;1H"
Standard Inchi Key(RDKit),KZXRIENPDGMNTG-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(CSc2nc3nc(C)cc(Sc4nnnn4CC[NH+](C)C)n3n2)cc1.[Cl-]
SMILES(SDF),
MW(SDF),
MW(RDKit),478.051
MW Monoisotopic(RDKit),477.128461448
MolLogP(RDKit),-1.68036
XLogP(SDF),
XLogP(CDK),3.633
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),10
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),91.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.237585108238612
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,8585033.273662478
qed,0.2375851082386115
Chi0,21.08721119088102
Chi1,14.474366886035767
TPSA,91.11999999999999
Chi0n,17.780241507444394
Chi0v,20.169163615318297
Chi1n,9.635560771479348
Chi1v,11.437655912060562
Chi2n,7.35998520404623
Chi2v,9.290032808038577
Chi3n,4.395142664918622
Chi3v,6.278848257524347
Chi4n,2.7345338161742934
Chi4v,4.444333329808959
MolMR,115.87670000000003
MolWt,478.05100000000016
fr_SH,0
Kappa1,23.453052764164962
