DLiP-ID,C002KB
DLiP-Mol-ID,31643
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H24O7/c1-27-17-9-13(10-18(28-2)22(17)25)7-15-5-6-16(21(15)24)8-14-11-19(29-3)23(26)20(12-14)30-4/h7-12,25-26H,5-6H2,1-4H3/b15-7+,16-8+"
Standard Inchi Key(RDKit),RZFRGTCAMDRPMQ-BGPOSVGRSA-N
Canonical SMILES(RDKit),COc1cc(/C=C2\CC/C(=C\c3cc(OC)c(O)c(OC)c3)C2=O)cc(OC)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),412.438
MW Monoisotopic(RDKit),412.152203108
MolLogP(RDKit),3.9621
XLogP(SDF),
XLogP(CDK),2.512
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),94.45
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.693639788804521
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,5572788.608228781
qed,0.6936397888045213
