DLiP-ID,T006OY
DLiP-Mol-ID,24345
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21N5O4/c21-19(22)12-1-3-13(4-2-12)20(29)24-15-5-6-16-14(9-15)11-25(8-7-18(27)28)17(26)10-23-16/h1-6,9,23H,7-8,10-11H2,(H3,21,22)(H,24,29)(H,27,28)"
Standard Inchi Key(RDKit),VNECNMAMEWOPGM-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(C(=O)Nc2ccc3c(c2)CN(CCC(=O)O)C(=O)CN3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),395.419
MW Monoisotopic(RDKit),395.159354152
MolLogP(RDKit),1.45177
XLogP(SDF),
XLogP(CDK),1.22
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),148.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.369182458837283
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2896980.2070646016
qed,0.3691824588372835
Chi0,20.965890847321376
Chi1,13.8294075958929
TPSA,148.61
Chi0n,15.566401340654705
Chi0v,15.566401340654705
Chi1n,8.954331336955843
Chi1v,8.954331336955843
Chi2n,6.62966151489457
Chi2v,6.62966151489457
Chi3n,4.5607668659550376
Chi3v,4.5607668659550376
Chi4n,2.9899702557244967
Chi4v,2.9899702557244967
MolMR,108.01280000000003
MolWt,395.41900000000015
fr_SH,0
Kappa1,19.86986294933041
Kappa2,8.42471602243216
Kappa3,4.891373568950335
fr_ArN,1
