DLiP-ID,C000GG
DLiP-Mol-ID,30654
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12O6/c1-21-14-4-8(2-3-10(14)18)13-7-12(20)16-11(19)5-9(17)6-15(16)22-13/h2-7,17-19H,1H3"
Standard Inchi Key(RDKit),SCZVLDHREVKTSH-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)ccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),300.266
MW Monoisotopic(RDKit),300.063388104
MolLogP(RDKit),2.5854
XLogP(SDF),
XLogP(CDK),3.315
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),100.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.672310813001976
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,96855.02750339214
qed,0.6723108130019759
Chi0,15.853006672199017
Chi1,10.49040230064194
TPSA,100.13000000000001
Chi0n,11.53048727302922
Chi0v,11.53048727302922
Chi1n,6.36564994392299
Chi1v,6.36564994392299
Chi2n,4.699561080582639
Chi2v,4.699561080582639
Chi3n,3.2588613895318166
Chi3v,3.2588613895318166
